Date	Venue	Score	Comp	Report
2000-02-13	Estadio Defensores del Chaco Asunción	1 - 1	F	N/A
March 29, 2000	Estadio Nacional Jose Diaz Lima	2 - 0	WCQ 2002	Report
April 26, 2000	Estadio Defensores del Chaco Asunción	1 - 0	WCQ 2002	Report
June 3, 2000	Estadio Defensores del Chaco Asunción	3 - 1	WCQ 2002	Report
2000-06-09	Sydney Football Stadium Sydney	0 - 0	F	N/A
2000-06-12	Suncorp Stadium Brisbane	0 - 0	F	N/A
2000-06-15	Etihad Stadium Melbourne	2 - 1	F	N/A
June 29, 2000	Estadio Nacional de Chile Santiago	3 - 1	WCQ 2002	Report
July 18, 2000	Estadio Defensores del Chaco Asunción	2 - 1	WCQ 2002	Report
July 27, 2000	Estadio Hernando Siles La Paz	0 - 0	WCQ 2002	Report
August 16, 2000	River Plate Stadium Buenos Aires	1 - 1	WCQ 2002	Report
September 2, 2000	Estadio Defensores del Chaco Asunción	3 - 0	WCQ 2002	Report
October 7, 2000	Estadio El Campín Bogotá	0 - 2	WCQ 2002	Report
November 15, 2000	Estadio Defensores del Chaco Asunción	5 - 1	WCQ 2002	Report
