Week	Date	Opponent	Result	Attendance
1	September 11, 2005	at New York Giants	L 42-19	78,387
2	September 18, 2005	St. Louis Rams	L 17-12	45,160
3	September 25, 2005	at Seattle Seahawks	L 37-14	64,843
4	October 2, 2005	San Francisco 49ers	W 31-14	103,467
5	October 9, 2005	Carolina Panthers	L 24-20	38,809
6	Bye	Bye	Bye	Bye
7	October 23, 2005	Tennessee Titans	W 20-10	39,482
8	October 30, 2005	at Dallas Cowboys	L 34-13	62,068
9	November 6, 2005	Seattle Seahawks	L 33-19	43,542
10	November 13, 2005	at Detroit Lions	L 29-21	61,091
11	November 20, 2005	at St. Louis Rams	W 38-28	65,750
12	November 27, 2005	Jacksonville Jaguars	L 24-17	39,198
13	December 4, 2005	at San Francisco 49ers	W 17-10	60,439
14	December 11, 2005	Washington Redskins	L 17-13	46,654
15	December 18, 2005	at Houston Texans	L 30-19	70,024
16	December 25, 2005	Philadelphia Eagles	W 27-21	44,723
17	January 1, 2006	at Indianapolis Colts	L 17-13	57,211
