Name	Wikis	Web publishing	Calendaring software	Project Management	Workflow system	Document Management	List Management	XML Forms Management and workflow	Discussion	Blogs	Surveys	Time Tracking	Business Intelligence	Charting	Bookmarking, Tagging, Rating and Comments	Social software	Enterprise search	Office suite
Google Apps	Yes, Sites	Yes, Sites	Yes	No	No	Yes, simple	No	Yes, simple	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes
IBM Connections	Yes	Yes	Yes	Yes, simple	Yes	Yes, simple	No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	No
IBM Lotus Domino	No	No	Yes	Yes, simple	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
IBM Quickr	Yes	Yes	Yes	Yes, simple	Yes	Yes, simple	Yes	No	Yes	Yes	No	Yes	No	No	No	No	No	No
Kune	Yes	In development	Yes	Yes, simple	No	Yes	yes, wave-based	No	Yes	Yes	yes (gadget)	No	No	No	In development	Yes	No	Real-time collaborative documents
Microsoft Exchange Server	No	No	Yes	Yes, simple	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
Microsoft Office	No	No	No	No	No	Yes, simple	No	Yes	No	No	No	No	No	Yes	No	No	No	Yes, desktop
Microsoft Project Server	No	No	Yes	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No
Microsoft Sharepoint	Yes	Yes	Yes	Yes, simple	Yes	Yes	Yes	Yes, Microsoft InfoPath	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, web
Microsoft Team Foundation Server	No	No	Yes	Yes	Yes	Yes	No	No	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No
Mindview	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	No	No	MS Office Interface
Traction TeamPage	Yes	Yes	Yes	Yes	Yes (basic)	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes, metrics	Yes	Yes	Yes	No
Tiki Wiki CMS Groupware	Yes	Yes	Yes	Yes, simple	Yes	Yes	Yes (newsletter)	Yes	Yes	Yes	Yes	Yes	No	Yes (basic)	Yes	Yes	Yes	Yes, web
Wrike	No	No	Yes	Yes	Yes	Yes	No	No	Yes	No	No	Yes	No	Yes	Yes	Yes	No	Yes, web
Name	Wikis	Web publishing	Calendaring software	Project Management	Workflow system	Document Management	List Management	XML Forms Management and workflow	Discussion	Blogs	Surveys	Time Tracking	Business Intelligence	Charting	Bookmarking, Tagging, Rating and Comments	Social software	Enterprise search	Office suite
