Name	Height	Year	Hometown	Club
Sadiqua Bynum	5-4	JR	Berkeley, Calif.	Head Over Heels Athletic Arts
Angi Cipra	5-2	FR	Mesa, Ariz.	Desert Devils Gymnastics
Olivia Courtney	5-2	JR	Fairfax, Va.	Orlando Metro
Ellette Craddock	5-5	SO	San Francisco, Calif.	San Mateo Gymnastics Center
Sophina DeJesus	5-1	SO	Temecula, Calif.	SCEGA
Danusia Francis	5-4	SO	Kenilworth, England	Heathrow Gymnastics Club
Mikaela Gerber	5-5	FR	Cambridge, Ontario	Oakville Gymnastics Club
Mattie Larson	5-2	JR	Los Angeles, Calif.	All Olympia Gymnastics Center
Christine Peng-Peng Lee	5-2	FR	Richmond Hill, Ontario	Sport Seneca/Oakville Gymnastics Club
Jessy MacArthur	5-5	FR	Newhall, Calif.	GymJam
Dana McDonald	5-3	SO	Piedmont, Calif.	Darrell Boykins Gymnastics
Hallie Mossett	5-2	FR	Los Angeles Calif.	West Coast Elite Gymnastics
Asi Peko	5-6	FR	Henderson, Nev.	Brown's Gymnastics
Samantha Peszek	5-1	JR	Indianapolis, Ind.	Sharp's Gymnastics/DeVeau's
Jennifer Pinches	5-4	FR	Manchester, England	City of Liverpool
Sydney Sawa	5-2	SR	Calgary, Alberta	Calgary Gymnastics Center
Alex Waller	5-3	FR	Valencia, Calif.	GymJam
