Date	Cover model	Centerfold model	20 Questions	Pictorials
1-01	Gabrielle Reece	Irina Voronina	Carol Alt	Gabrielle Reece
2-01	Anna Nicole Smith	Lauren Michelle Hill	Sela Ward	Anna Nicole Smith, Surfer Amy Cobb
3-01	Kylie Bax	Miriam Gonzalez	Traci Lords	Kylie Bax, Girls of golf
4-01	Irina Voronina	Katie Lohmann	Wyclef Jean	Girls of Hard Rock Hotel and Casino
5-01	Brooke Burke	Crista Nicole	Mariska Hargitay	Brooke Burke, Temptation Island's Lola Corwin
6-01	Brande Roderick	Heather Spytek	Edward Burns	Brande Roderick-PMOY, Naked News
7-01	Pamela Anderson	Kimberley Stanfield	Johnny Knoxville	Pamela Anderson, Ginger Harrisson
8-01	Belinda Carlisle	Jennifer Walcott	Jon Bon Jovi	Belinda Carlisle, Girls of Bada Bing
9-01	Jerri Manthey	Dalene Kurtis	Stanley Tucci	Jerri Manthey, Sascha Knopf
10-01	Julia Schultz , Stephanie Heinrich , Nicole Lenz	Stephanie Heinrich	Marg Helgenberger	Girls of SEC , Leilani Rios
11-01	Angelica Bridges	Lindsey Vuolo	Will Ferrell	Angelica Bridges
12-01	Gena Lee Nolin	Shanna Moakler	Catherine Bell	Gena Lee Nolin, Bebe Buell
