Date	Opponent	Score	Loss	Record
August 10	@ Tigers	4–3	McLaughlin (0–5)	16–43
August 11	@ Tigers	6–4	Schatzeder (3–5)	17–43
August 12	@ Tigers	4–3	Morris (9–4)	18–43
August 14	Brewers	5–4	Easterly (2–2)	19–43
August 15	Brewers	4–3	Cleveland (2–2)	20–43
August 16	Brewers	6–2	Stieb (5–8)	20–44
August 16	Brewers	2–0	Todd (2–6)	20–45
August 17	@ Royals	5–3	Clancy (3–6)	20–46
August 18	@ Royals	5–3	Jones (1–1)	21–46
August 19	@ Royals	9–4	Leonard (7–8)	22–46
August 21	White Sox	5–4	Farmer (2–3)	23–46
August 22	White Sox	8–0	Clancy (3–7)	23–47
August 23	White Sox	13–2	Leal (4–9)	23–48
August 24	Rangers	3–0	Berenguer (2–5)	23–49
August 25	Rangers	6–1	Stieb (6–9)	23–50
August 27	Royals	11–5	Clancy (3–8)	23–51
August 28	Royals	4–3	Brett (1–1)	24–51
August 29	Royals	2–0	Berenguer (2–6)	24–52
August 30	Royals	Postponed (rain) Not rescheduled	Postponed (rain) Not rescheduled	Postponed (rain) Not rescheduled
August 31	@ Rangers	3–0	Jenkins (5–7)	25–52
