Week	Date	Opponent	Result	Attendance
1	September 6, 1992	Kansas City Chiefs	L 24–10	45,024
2	September 13, 1992	at Denver Broncos	L 21–13	74,367
3	September 20, 1992	Pittsburgh Steelers	L 23–6	46,127
4	September 27, 1992	at Houston Oilers	L 27–0	57,491
5	October 4, 1992	Seattle Seahawks	W 17–6	36,783
6	Bye	Bye	Bye	Bye
7	October 18, 1992	at Indianapolis Colts	W 34–14	48,552
8	October 25, 1992	Denver Broncos	W 24–21	53,576
9	November 1, 1992	Indianapolis Colts	W 26–0	40,324
10	November 8, 1992	at Kansas City Chiefs	L 16–14	72,826
11	November 15, 1992	at Cleveland Browns	W 14–13	58,396
12	November 22, 1992	Tampa Bay Buccaneers	W 29–14	43,197
13	November 29, 1992	Los Angeles Raiders	W 27–3	59,894
14	December 6, 1992	at Phoenix Cardinals	W 27–21	26,880
15	December 13, 1992	Cincinnati Bengals	W 27–10	50,579
16	December 20, 1992	at Los Angeles Raiders	W 36–14	40,152
17	December 27, 1992	at Seattle Seahawks	W 31–14	49,324
