Year	English title	Korean title	Role	Network
1993	Three Families Under One Roof	한지붕 세가족	Yoo Ji-hee	MBC
1994	The Last Match	마지막 승부	Jung Da-seul	MBC
1994	MBC Best Theater "Little Thief"	MBC 베스트극장 - 작은 도둑	Lee Jung-eun	MBC
1994	M	M	Park Ma-ri/Kim Joo-ri	MBC
1994	Shoal	여울목	Na Seung-ri	MBC
1995	Hotel	호텔	movie actress ( cameo )	MBC
1995	Sook-hee	숙희	Kim Sook-hee	MBC
1996	1.5 Generation	1.5	Cha Hye-kyung	MBC
1996	TV Literature " Between Heaven and Earth "	TV문학관 - 천지간	woman	KBS1
1996	Power of Love	사랑한다면	Kim Young-hee	MBC
1997	Beautiful Lady	아름다운 그녀	Yoo Seon-young	SBS
1997	SBS 70-Minute Drama "I Want"	SBS 70분드라마 - 나는 원한다	Hong Young-ki	SBS
1998	White Nights 3.98	백야 3.98	Anastasia Jang	SBS
1999	Trap of Youth	청춘의 덫	Seo Yoon-hee	SBS
