Place	Player	Country	Score	To par
1	Tom Watson	United States	68-70-64=202	–11
T2	Ken Brown	Scotland	70-68-68=206	–7
T2	Lee Trevino	United States	68-67-71=206	–7
4	Ben Crenshaw	United States	70-70-68=208	–5
T5	Andy Bean	United States	71-69-70=210	–3
T5	Hubert Green	United States	77-69-64=210	–3
T7	Isao Aoki	Japan	74-74-63=211	–2
T7	Sandy Lyle	Scotland	70-71-70=211	–2
T7	Carl Mason	England	72-69-70=211	–2
T7	Gil Morgan	United States	70-70-71=211	–2
T7	Jack Nicklaus	United States	73-67-71=211	–2
T7	Craig Stadler	United States	72-70-69=211	–2
