Driver	Constructor	Laps	Time/Retired	Grid
Mika Häkkinen	McLaren - Mercedes	69	1:41:35.727	2
Giancarlo Fisichella	Benetton - Playlife	69	+0.782	7
Eddie Irvine	Ferrari	69	+1.797	3
Ralf Schumacher	Williams - Supertec	69	+2.392	13
Johnny Herbert	Stewart - Ford	69	+2.805	10
Pedro Diniz	Sauber - Petronas	69	+3.711	18
David Coulthard	McLaren - Mercedes	69	+5.004	4
Marc Gené	Minardi - Ford	68	+1 Lap	22
Olivier Panis	Prost - Peugeot	68	+1 Lap	15
Luca Badoer	Minardi - Ford	67	+2 Laps	21
Heinz-Harald Frentzen	Jordan - Mugen-Honda	65	Brakes	6
Alessandro Zanardi	Williams - Supertec	50	Brakes	12
Toranosuke Takagi	Arrows	41	Transmission	19
Jacques Villeneuve	BAR - Supertec	34	Spun off	16
Michael Schumacher	Ferrari	29	Spun off	1
Pedro de la Rosa	Arrows	22	Transmission	20
Damon Hill	Jordan - Mugen-Honda	14	Spun off	14
Rubens Barrichello	Stewart - Ford	14	Steering	5
Ricardo Zonta	BAR - Supertec	2	Spun off	17
Jean Alesi	Sauber - Petronas	0	Collision	8
Jarno Trulli	Prost - Peugeot	0	Collision	9
Alexander Wurz	Benetton - Playlife	0	Transmission	11
