Player	Test Career	Tests	Catches	Stumpings	Total Dismissals
Mahes Goonatilleke	1982-82	5	10	3	15
Guy de Alwis	1983–88	11	21	1	23
Amal Silva	1983–88	9	33	1	34
Asanka Gurusinha	1985–96	41	2	0	2
Brendon Kuruppu	1987–91	4	1	0	1
Gamini Wickremasinghe	1989–92	3	9	1	10
Hashan Tillakaratne	1989–2004	83	33	2	35
Romesh Kaluwitharana	1992–2004	49	93	26	119
Ashley de Silva	1993–93	3	4	1	5
Pubudu Dassanayake	1993–94	11	19	5	24
Chamara Dunusinghe	1995–95	5	13	2	15
Lanka de Silva	1997–97	3	1	0	1
Prasanna Jayawardene	2000–2007	12	26	6	32
Kumar Sangakkara	2000–2007	67	127	20	147
