City	Country	IATA	ICAO	Airport
Amsterdam	Netherlands	AMS	EHAM	Amsterdam Airport Schiphol
Berlin	Germany	TXL	EDDT	Berlin Tegel Airport
Birmingham	United Kingdom	BHX	EGBB	Birmingham Airport
Cardiff	United Kingdom	CWL	EGFF	Cardiff Airport
Knock	Ireland	NOC	EIKN	Ireland West Airport Knock
Düsseldorf	Germany	DUS	EDDL	Düsseldorf International Airport
Geneva	Switzerland	GVA	LSGG	Geneva Airport
Glasgow	United Kingdom	GLA	EGPF	Glasgow Airport
Hamburg	Germany	HAM	EDDH	Hamburg Airport
Leipzig	Germany	LEJ	EDDP	Leipzig/Halle Airport
Lyon	France	LYS	LFLL	Lyon-Saint Exupéry Airport
Manchester	United Kingdom	MAN	EGCC	Manchester Airport
Milan	Italy	MXP	LIMC	Malpensa Airport
Newcastle	United Kingdom	NCL	EGNT	Newcastle Airport
Nuremberg	Germany	NUE	EDDN	Nuremberg Airport
Oslo	Norway	OSL	ENGM	Oslo Airport, Gardermoen
Paris	France	CDG	LFPG	Paris-Charles de Gaulle Airport
Poznan	Poland	POZ	EPPO	Poznan-Lawica Airport
Prague	Czech Republic	PRG	LKPR	Prague Ruzyne Airport
Sofia	Bulgaria	SOF	LBSF	Sofia Airport
Stuttgart	Germany	STR	EDDS	Stuttgart Airport
Turin	Italy	TRN	LIMF	Turin Caselle Airport
Vienna	Austria	VIE	LOWW	Vienna International Airport
Westerland	Germany	GWT	EDXM	Sylt Airport
Wroclaw	Poland	WRO	EPWR	Copernicus Airport Wroclaw
Stockholm	Sweden	ARN	ESSA	Stockholm Arlanda Airport
