Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2006	Formula Renault 2.0 Brazil	Piquet Sports	1	0	0	0	0	22	17th
2006	Formula Renault 2.0 Brazil	Dragão Motorsport	1	0	0	0	0	22	17th
2006	Formula 3 Sudamericana	Piquet Sports	14	0	0	0	0	10	28th
2007	Formula Renault 2.0 NEC	SL Formula Racing	10	0	0	0	0	46	30th
2007	Eurocup Formula Renault 2.0	SL Formula Racing	10	0	0	0	0	0	NC
2007	Formula 3 Sudamericana	Baumer Racing	4	0	0	0	0	1	21st
2008	Formula 3 Sudamericana	Cesário Fórmula	17	5	3	4	11	112	2nd
2009	Formula 3 Euro Series	Manor Motorsport	20	0	0	0	0	0	27th
2009	British Formula Three Championship	Manor Motorsport	2	0	0	0	0	N/A	NC†
2009	Masters of Formula 3	Manor Motorsport	1	0	0	0	0	N/A	20th
2010	GP3 Series	ART Grand Prix	16	0	0	0	0	4	24th
