Year	Player	Country	Score	To Par	Margin	Earnings ($)
2006	Trevor Immelman	South Africa	69-66-69-67=271	−13	2	900,000
2005	Jim Furyk	United States	64-70-67-69=270	−14	2	900,000
2004	Stephen Ames	Canada	67-73-64-70=274	−10	2	864,000
2003	Tiger Woods	United States	63-70-65-69=267	−21	5	810,000
2002	Jerry Kelly	United States	67-69-68-65=269	−19	2	720,000
2001	Scott Hoch	United States	69-68-66-64=267	−21	1	648,000
2000	Robert Allenby	Australia	69-69-68-68=274	−14	0	540,000
1999	Tiger Woods	United States	68-66-68-71=273	−15	3	450,000
1998	Joe Durant	United States	68-67-70-66=271	−17	2	396,000
1997	Tiger Woods	United States	67-72-68-68=275	−13	3	360,000
1996	Steve Stricker	United States	65-69-67-69=270	−18	8	360,000
1995	Billy Mayfair	United States	73-70-69-67=279	−9	1	360,000
1994	Nick Price	Zimbabwe	67-67-72-71=277	−11	1	216,000
1993	Nick Price	Zimbabwe	64-71-67-67=269	−19	5	216,000
1992	Ben Crenshaw	United States	70-72-65-69=276	−12	2	198,000
1991	Russ Cochran	United States	66-72-68-69=275	−13	2	180,000
