Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2006-12-02	Bucks	115–110	Warriors	Troy Murphy (23)	18,086	9–8
2006-12-04	Warriors	89–129	Spurs	Anthony Roberson (21)	18,797	9–9
2006-12-05	Warriors	90–118	Rockets	Monta Ellis (19)	NA	9–10
2006-12-09	Hornets	80–101	Warriors	Mickaël Piétrus (22)	17,105	10–10
2006-12-10	Warriors	115–117	Sonics	Baron Davis (28)	16,138	10–11
2006-12-12	Kings	103–126	Warriors	Matt Barnes (32)	17,574	11–11
2006-12-14	Rockets	107–109	Warriors	Baron Davis (34)	19,596	12–11
2006-12-15	Warriors	101–105	Suns	Monta Ellis (24)	18,422	12–12
2006-12-17	Warriors	115–120	Raptors	Monta Ellis (28)	16,035	12–13
2006-12-18	Warriors	97–105	Nets	Baron Davis (25)	14,096	12–14
2006-12-20	Warriors	96–95	Celtics	Baron Davis (31)	17,134	13–14
2006-12-22	Warriors	117–108	Magic	Baron Davis (38)	16,563	14–14
2006-12-23	Warriors	92–105	Heat	Matt Barnes (20)	19,600	14–15
2006-12-26	76ers	116–97	Warriors	Matt Barnes (25)	19,183	15–15
2006-12-29	Celtics	100–110	Warriors	Baron Davis (27)	19,596	16–15
2006-12-30	Warriors	96–119	Kings	Two-Way Tie (17)	17,317	16–16
