Heat	Lane	Name	Nationality	Time
6	3	Hanna-Maria Seppälä	Finland	53.60
6	4	Britta Steffen	Germany	53.67
6	5	Marleen Veldhuis	Netherlands	53.76
7	5	Natalie Coughlin	United States	53.82
5	6	Francesca Halsall	Great Britain	53.93
7	4	Lisbeth Trickett	Australia	53.99
6	6	Pang Jiaying	China	54.01
7	7	Zhu Yingwen	China	54.01
4	5	Jeanette Ottesen	Denmark	54.04
6	2	Josefin Lillhage	Sweden	54.07
7	3	Malia Metella	France	54.12
5	7	Aliaksandra Herasimenia	Belarus	54.52
5	4	Cate Campbell	Australia	54.55
5	3	Lacey Nymeyer	United States	54.62
7	6	Erica Morningstar	Canada	54.66
6	7	Petra Dallmann	Germany	54.70
7	1	Julia Wilkinson	Canada	54.70
5	2	Alena Popchanka	France	54.86
7	8	Tatiana Barbosa	Brazil	55.01
6	1	Agata Ewa Korc	Poland	55.14
6	8	Lize-Mari Retief	South Africa	55.17
4	3	Anna Gostomelsky	Israel	55.18
5	1	Martina Moravcová	Slovakia	55.20
5	5	Inge Dekker	Netherlands	55.23
4	4	Anastasia Aksenova	Russia	55.29
3	3	Hannah Wilson	Hong Kong	55.32
4	8	Darya Stepanyuk	Ukraine	55.51
3	4	Arianna Vanderpool-Wallace	Bahamas	55.61
3	2	Birgit Koschischek	Austria	55.62
4	2	Arlene Semeco	Venezuela	55.70
5	8	Jana Klusáčková	Czech Republic	55.92
3	1	Chang Hee-Jin	South Korea	55.96
4	7	Triin Aljand	Estonia	56.10
2	5	Quah Ting Wen	Singapore	56.14
3	5	Ragnheidur Ragnarsdottir	Iceland	56.35
3	8	Anna Stylianou	Cyprus	56.38
3	7	Eleni Kosti	Greece	56.44
4	1	Miroslava Najdanovski	Serbia	56.50
2	6	Natthanan Junkrajang	Thailand	56.56
2	4	Orsolya Tompa	Hungary	56.57
2	7	Christel Simms	Philippines	56.67
4	6	Maria Laura Simonetto	Italy	56.72
2	3	Nieh Pin-Chieh	Chinese Taipei	57.28
3	6	Nina Sovinek	Slovenia	57.30
1	4	Madeleine Scerri	Malta	57.97
2	2	Irina Shlemova	Uzbekistan	58.77
1	5	Elena Popovska	Macedonia	59.93
1	6	Olga Hachatryan	Turkmenistan	1:14.77
7	2	Caitlin McClatchey	Great Britain	DNS
