Res.	Record	Opponent	Method	Event	Round	Location
Loss	11-2	Antonio Silva	Submission (rear naked choke)	EliteXC: Renegade	1	Texas , United States
Win	11-1	Tim Persey	TKO (strikes)	K-1 Dynamite!! USA	2	California , United States
Win	10-1	Ashley Rivers	Submission (arm triangle choke)	ISCF - Summer Heat 2006	1	Georgia , United States
Win	9-1	Michael Buchkovich	Submission (guillotine choke)	FT 6 - Full Throttle 6	1	Georgia , United States
Win	8-1	Jerome Smith	Submission (kimura)	XFF 1 - Xtreme Freestyle Fighting 1	1	Georgia , United States
Win	7-1	Jerome Smith	TKO (corner stoppage)	ISCF - Summer Heat	1	Georgia , United States
Loss	6-1	Ben Rothwell	TKO	Euphoria - Road to the Titles	1	New Jersey , United States
Win	6-0	Wade Shipp	TKO (strikes)	UFC 47	1	Nevada , United States
Win	5-0	Johnathan Ivey	Submission (neck crank)	ISCF - Trauma	1	Georgia , United States
Win	4-0	Ivan Carabello	Submission (choke)	ISCF - Southeast Championships	1	Georgia , United States
Win	3-0	John Dixon	Submission (strikes)	ISCF - Battle at the Brewery	2	Georgia , United States
Win	2-0	Dan Severn	Submission (rear naked choke)	RSF 1 - Redemption in the Valley	2	Virginia , United States
Win	1-0	JJ Wilson	Submission (rear naked choke)	ISCF - Hot Summer Fights	1	Georgia , United States
