Actual Title	Writer	Artist	Issue	Date
The Sopranos	Arnie Kogen	Mort Drucker	389	January 2000
Will & Grace	Josh Gordon	Angelo Torres	390	February 2000
7th Heaven	Dennis Snee	Angelo Torres	391	March 2000
Dawson's Creek	Josh Gordon	Ray Alma	392	April 2000
Who Wants to be a Millionaire?	Desmond Devlin	Gary Hallgren	392	April 2000
The Practice	Josh Gordon	Mort Drucker	394	June 2000
Angel	Dick DeBartolo	Angelo Torres	396	August 2000
Survivor	Dick DeBartolo	Bill Wray	398	October 2000
Total Request Live	Desmond Devlin	Ray Alma	399	November 2000
The West Wing	Arnie Kogen	Mort Drucker	402	February 2001
Malcolm in the Middle	Desmond Devlin	Tom Richmond	403	March 2001
CSI: Crime Scene Investigation	Dick DeBartolo	Angelo Torres	405	June 2001
Sex in the City	Josh Gordon	Mort Drucker	407	August 2001
Becker	Dick DeBartolo	Mort Drucker	408	September 2001
The King of Queens	Josh Gordon	Angelo Torres	408	September 2001
The Weakest Link	Dick DeBartolo	Bill Wray	409	October 2001
Boston Public	Desmond Devlin	Tom Richmond	413	January 2002
America's Most Wanted	Dick DeBartolo	Tom Richmond	414	February 2002
Ed	Josh Gordon	Angelo Torres	414	February 2002
Smallville	Dick DeBartolo	Mort Drucker	415	March 2002
Six Feet Under	Charlie Kadau	Angelo Torres	418	June 2002
Enterprise	Desmond Devlin	Mort Drucker	420	August 2002
Scrubs	Charlie Kadau	Tom Richmond	426	February 2003
24	Dick DeBartolo	Bob Julian	429	May 2003
C.S.I: Miami	Arnie Kogen	Mort Drucker	431	July 2003
8 Simple Rules for Dating My Teenage Daughter	Josh Gordon	Angelo Torres	434	October 2003
Trading Spaces	Dick DeBartolo	Tom Richmond	435	November 2003
The Shield	Charlie Kadau	Angelo Torres	437	January 2004
Curb Your Enthusiasm	Josh Gordon	Angelo Torres	438	February 2004
Joan of Arcadia	Josh Gordon	Mort Drucker	440	April 2004
Alias	Dick DeBartolo	Hermann Mejia	441	May 2004
Everwood	Josh Gordon	Mort Drucker	441	May 2004
The O.C.	Dennis Snee	Tom Richmond	442	June 2004
The Price is Right	Dick DeBartolo	Tom Bunk	442	June 2004
Queer Eye For the Straight Guy	Dave Croatto	Tom Richmond	443	July 2004
VH1's Behind the Music	Evan Dorkin	Evan Dorkin	443	July 2004
Las Vegas	Charlie Kadau	Mort Drucker	444	August 2004
Cold Case	Arnie Kogen	Angelo Torres	446	October 2004
Without a Trace	Arnie Kogen	Angelo Torres	446	October 2004
The Bernie Mac Show	David Shayne	Tom Richmond	447	November 2004
Law & Order: Criminal Intent	Dick DeBartolo	Tom Richmond	449	January 2005
Two and a Half Men	Arnie Kogen	Tom Richmond	450	February 2005
Deadwood	Arnie Kogen	Mort Drucker	452	April 2005
Desperate Housewives	David Shayne	Mort Drucker	453	May 2005
Lost	Dick DeBartolo	Tom Richmond	453	May 2005
Medium	Dick DeBartolo	Tom Richmond	454	June 2005
Pimp My Ride	Dave Croatto	Tom Richmond	456	August 2005
C.S.I: NY	Arnie Kogen	Mort Drucker	459	November 2005
Extreme Makeover Home Edition	Dick DeBartolo	Tom Richmond	460	December 2005
House	Arnie Kogen	Mort Drucker	462	February 2006
Everybody Hates Chris	Arnie Kogen	Tom Richmond	463	March 2006
Prison Break	Dick DeBartolo	Mort Drucker	465	May 2006
Deal or No Deal?	Dick DeBartolo	Hermann Mejia	466	June 2006
Hell's Kitchen	Dick DeBartolo	Tom Richmond	470	October 2006
My Name Is Earl	David Shayne	Mort Drucker	470	October 2006
Grey's Anatomy	Arnie Kogen	Tom Richmond	472	December 2006
Nanny 911	Dick DeBartolo	Tom Bunk	475	March 2007
The Amazing Race	Dick DeBartolo	Hermann Mejia	476	April 2007
Entourage	Arnie Kogen	Tom Richmond	476	April 2007
The Biggest Loser	Desmond Devlin	Tom Bunk	477	May 2007
My Super Sweet 16	Dave Croatto	Hermann Mejia	477	May 2007
Dog The Bounty Hunter	Dennis Snee	Tom Richmond	478	June 2007
Law & Order: SVU	Arnie Kogen	Mort Drucker	478	June 2007
America's Next Top Model	Desmond Devlin	Tom Richmond	482	October 2007
1 vs. 100	Dick DeBartolo	Tom Bunk	483	November 2007
Man Vs. Wild	David Shayne	Hermann Mejia	486	February 2008
Heroes	Desmond Devlin	Tom Richmond	487	March 2008
Monk	Charlie Kadau	Mort Drucker	488	April 2008
Samantha Who?	Dick DeBartolo	Tom Richmond	489	May 2008
Dexter	Charlie Kadau	Hermann Mejia	490	June 2008
30 Rock	Arnie Kogen	Tom Richmond	490	June 2008
The Celebrity Apprentice	Desmond Devlin	Tom Bunk	500	June 2009
