Driver	Constructor	Laps	Time/Retired	Grid
Mika Häkkinen	McLaren - Mercedes	69	1:38:57.771	5
David Coulthard	McLaren - Mercedes	69	+1.654	6
Jacques Villeneuve	Williams - Renault	69	+1.803	1
Gerhard Berger	Benetton - Renault	69	+1.919	8
Eddie Irvine	Ferrari	69	+3.789	7
Heinz-Harald Frentzen	Williams - Renault	69	+4.537	3
Olivier Panis	Prost - Mugen-Honda	69	+1:07.145	9
Johnny Herbert	Sauber - Petronas	69	+1:12.961	14
Jan Magnussen	Stewart - Ford	69	+1:17.487	11
Shinji Nakano	Prost - Mugen-Honda	69	+1:18.215	15
Giancarlo Fisichella	Jordan - Peugeot	68	+1 lap	17
Mika Salo	Tyrrell - Ford	68	+1 lap	21
Jean Alesi	Benetton - Renault	68	+1 lap	10
Norberto Fontana	Sauber - Petronas	68	+1 lap	18
Tarso Marques	Minardi - Hart	68	+1 lap	20
Jos Verstappen	Tyrrell - Ford	68	+1 lap	22
Ukyo Katayama	Minardi - Hart	68	+1 lap	19
Michael Schumacher	Ferrari	47	Collision	2
Damon Hill	Arrows - Yamaha	47	Gearbox	4
Ralf Schumacher	Jordan - Peugeot	44	Water leak	16
Rubens Barrichello	Stewart - Ford	30	Gearbox	12
Pedro Diniz	Arrows - Yamaha	11	Spun off	13
Source:	Source:	Source:	Source:	Source:
