Year	Winner	Jockey	Trainer	Owner	Time
2013	Scatman	Shaun Bridgmohan	William I. Mott	JEOG Racing	1:10.56
2012	Rothko	Corey Nakatani	Steven Asmussen	Padua Stables	1:09.40
2011	Noble's Promise	Alan Garcia	Ken McPeek	Chasing Dreams Racing	1:08.74
2010	Riley Tucker	Shaun Bridgmohan	Steve Asmussen	Zayat Stables	1:08.34
2009	Bold Start	Robby Albarado	Ken McPeek	Lawrence Carroll	1:09.04
2008	Indian Chant	Jamie Theriot	Tom Amoss	Maggi Moss	1:08.40
2007	Fabulous Strike	Ramon Dominguez	Todd Beattie	Tea Party Stable	1:07.64
2006	Lost in the Fog	Russell Baze	Greg Gilchrist	Harry J. Aleo	1:08.52
2005	Kelly's Landing	Gary L. Stevens	Eddie Kenneally	Summerplace Farm	1:07.59
2004	Champali	Rafael Bejarano	Gregory Foley	Lloyd Madison Farms	1:09.04
2003	Mountain General	Corey Lanerie	Steve Asmussen	Keith Asmussen	1:16.01
2002	Orientate	Robby Albarado	D. Wayne Lukas	Bob and Beverly Lewis	1:14.41
2001	Bet On Sunshine	Calvin Borel	Paul J. McGee	David P. Halloway Racing	1:14.79
2000	Bet On Sunshine	Francisco Torres	Paul J. McGee	David P. Halloway Racing	1:15.11
