Months in Malayalam Era	In Malayalam	Gregorian Calendar	Tamil calendar	Saka era	Sign of Zodiac
Chingam	ചിങ്ങം	August–September	Aavani	Sravan–Bhadrapada	Leo
Kanni	കന്നി	September–October	Purattasi	Bhadrapada–Asvina	Virgo
Tulam	തുലാം	October–November	Aippasi	Asvina–Kartika	Libra
Vrscikam	വൃശ്ചികം	November–December	Karthigai	Kartika–Agrahayana	Scorpio
Dhanu	ധനു	December–January	Margazhi	Agrahayana–Pausa	Sagittarius
Makaram	മകരം	January–February	Thai	Pausa–Magha	Capricon
Kumbham	കുംഭം	February–March	Maasi	Magha–Phalguna	Aquarius
Minam	മീനം	March–April	Panguni	Phalguna–Chaitra	Pisces
Medam	മേടം	April–May	Chithirai	Chaitra– Vaisakha	Aries
Edavam (Idavam)	ഇടവം	May–June	Vaikasi	Vaisakha–Jyaistha	Taurus
Mithunam	മിഥുനം	June–July	Aani	Jyaistha–Asada	Gemini
Karkadakam	കര്‍ക്കടകം	July–August	Aadi	Asada–Sravana	Cancer
