Date	Venue	Score	Result	Competition
12 June 2005	Ayub Stadium , Quetta	1–0	1–1	Friendly
17 August 2007	Ambedkar Stadium , Delhi	4–0	6–0	2007 Nehru Cup
17 August 2007	Ambedkar Stadium, Delhi	5–0	6–0	2007 Nehru Cup
23 August 2007	Ambedkar Stadium, Delhi	1–0	2–3	2007 Nehru Cup
26 August 2007	Ambedkar Stadium, Delhi	2–0	3–0	2007 Nehru Cup
8 October 2007	Saida International Stadium , Sidon	1–0	1–4	2010 World Cup qualifier
30 October 2007	Fatorda Stadium , Goa	1–0	2–2	2010 World Cup qualifier
24 May 2008	Fatorda Stadium, Goa	2–0	3–0	Friendly
24 May 2008	Fatorda Stadium, Goa	3–0	3–0	Friendly
3 June 2008	Rasmee Dhandu Stadium , Malé	3–0	4–0	2008 SAFF Cup
11 June 2008	Rasmee Dhandu Stadium, Malé	1–1	2–1	2008 SAFF Cup
7 August 2008	Gachibowli Athletic Stadium , Hyderabad	1–0	1–0	2008 AFC Challenge Cup
13 August 2008	Ambedkar Stadium, Delhi	1–0	4–1	2008 AFC Challenge Cup
13 August 2008	Ambedkar Stadium, Delhi	3–0	4–1	2008 AFC Challenge Cup
13 August 2008	Ambedkar Stadium, Delhi	4–1	4–1	2008 AFC Challenge Cup
23 August 2009	Ambedkar Stadium, Delhi	2–0	2–1	2009 Nehru Cup
8 October 2010	Shree Shiv Chhatrapati Sports Complex , Pune	1–0	3–1	Friendly
8 October 2010	Shree Shiv Chhatrapati Sports Complex, Pune	2–0	3–1	Friendly
8 October 2010	Shree Shiv Chhatrapati Sports Complex, Pune	3–1	3–1	Friendly
14 January 2011	Jassim Bin Hamad Stadium , Doha	2–4	2–5	2011 Asian Cup
18 January 2011	Al-Gharafa Stadium , Doha	1–2	1–4	2011 Asian Cup
21 March 2011	Petaling Jaya Stadium , Petaling Jaya	2–0	3–0	2012 AFC Challenge Cup qualifier
10 July 2011	Rasmee Dhandu Stadium , Malé	1–0	1–1	Friendly
16 November 2011	Salt Lake Stadium , Kolkata	1–0	3–2	Friendly
16 November 2011	Salt Lake Stadium, Kolkata	3–1	3–2	Friendly
3 December 2011	Jawaharlal Nehru Stadium , New Delhi	1–1	1–1	2011 SAFF Championship
5 December 2011	Jawaharlal Nehru Stadium, New Delhi	4–0	5–0	2011 SAFF Championship
5 December 2011	Jawaharlal Nehru Stadium, New Delhi	5–0	5–0	2011 SAFF Championship
7 December 2011	Jawaharlal Nehru Stadium, New Delhi	2–0	3–0	2011 SAFF Championship
9 December 2011	Jawaharlal Nehru Stadium, New Delhi	2–1	3–1	2011 SAFF Championship
9 December 2011	Jawaharlal Nehru Stadium, New Delhi	3–1	3–1	2011 SAFF Championship
11 December 2011	Jawaharlal Nehru Stadium, New Delhi	1–0	4–0	2011 SAFF Championship
22 August 2012	Jawaharlal Nehru Stadium, New Delhi	1–0	2–1	2012 Nehru Cup
25 August 2012	Jawaharlal Nehru Stadium, New Delhi	1–0	3–0	2012 Nehru Cup
25 August 2012	Jawaharlal Nehru Stadium, New Delhi	3–0	3–0	2012 Nehru Cup
4 March 2013	Thuwunna Stadium , Yangon	1–0	4–0	2014 AFC Challenge cup qualifier
4 March 2013	Thuwunna Stadium, Yangon	4–0	4–0	2014 AFC Challenge Cup qualifier
3 September 2013	Halchowk Stadium , Kathmandu	1–1	1–1	2013 SAFF Championship
