Team	Outgoing manager	Manner of departure	Date of vacancy	Replaced by	Date of appointment
Sint-Truiden	Valère Billen	Quit	18 September 2007	Peter Voets (caretaker)	18 September 2007
Anderlecht	Franky Vercauteren	Mutual consent	12 November 2007	Ariel Jacobs	12 November 2007
Dender EH	Jean-Pierre Van De Velde	Mutual consent	19 November 2007	Johan Boskamp	27 November 2007
Charleroi	Philippe Van de Walle	Quit	10 December 2007	Thierry Siquet	10 December 2007
Sint-Truiden	Peter Voets	Caretaker replaced	10 December 2007	Dennis Van Wijk	10 December 2007
Mouscron	Marc Brys	Fired	17 December 2007	Geert Broeckaert (caretaker)	17 December 2007
Brussels	Albert Cartier	Fired	22 December 2007	Edy De Bolle (caretaker)	22 December 2007
Mouscron	Geert Broeckaert	Caretaker replaced	27 December 2007	Enzo Scifo	27 December 2007
Brussels	Edy De Bolle	Caretaker replaced	24 January 2008	Franky Van Der Elst	24 January 2008
Mons	José Riga	Fired	27 January 2008	Albert Cartier	28 January 2008
Genk	Hugo Broos	Fired	23 February 2008	Ronny Van Geneugden (caretaker)	23 February 2008
