Airing date	Number of episodes	HD format	Highest average point ratings	Genre	Official website
1 Jan- 27 Jan	20	Yes	37	Modern comedy	Official website
28 Jan- 22 Feb	20	No	32	Modern drama	Official website
25 Feb- 28 Mar	25	Yes	29	Period action	Official website
31 Mar- 25 Apr	20	No	32	Modern drama	Official website
28 Apr- 23 May	21	No	34	Costume drama	Official website
26 May- 20 Jun	21	No	31	Modern drama	Official website
23 Jun- 21 Jul	20	No	30	Modern drama	Official website
21 Jul- 15 Aug	20	Yes	32	Modern drama	Official website
25 Aug- 19 Sep	20	Yes	31	Modern drama	Official website
22 Sep- 24 Oct	24	No	30	Costume action	Official website
27 Oct- 5 Dec	30	No	29	Period drama	Official website
8 Dec 2008- 2 Jan 2009	20	No	28	Modern drama	Official website
