District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) Unopposed
Texas 2	Jesse M. Combs	Democratic	1944	Re-elected	Jesse M. Combs (D) 96.2% Don Parker (R) 3.8%
Texas 3	Lindley Beckworth	Democratic	1938	Re-elected	Lindley Beckworth (D) Unopposed
Texas 4	Sam Rayburn	Democratic	1912	Re-elected	Sam Rayburn (D) 93.7% Floyd Harry (R) 6.3%
Texas 7	Tom Pickett	Democratic	1944	Re-elected	Tom Pickett (D) Unopposed
Texas 9	Joseph J. Mansfield	Democratic	1916	Re-elected	Joseph J. Mansfield (D) Unopposed
Texas 10	Lyndon B. Johnson	Democratic	1937	Re-elected	Lyndon B. Johnson (D) Unopposed
Texas 11	William R. Poage	Democratic	1936	Re-elected	William R. Poage (D) Unopposed
Texas 13	Ed Gossett	Democratic	1938	Re-elected	Ed Gossett (D) Unopposed
Texas 14	John E. Lyle, Jr.	Democratic	1944	Re-elected	John E. Lyle, Jr. (D) Unopposed
Texas 15	Milton H. West	Democratic	1933	Re-elected	Milton H. West (D) Unopposed
Texas 16	R. Ewing Thomason	Democratic	1930	Re-elected	R. Ewing Thomason (D) Unopposed
Texas 17	Sam M. Russell	Democratic	1940	Retired Democratic hold	Omar Burleson (D) Unopposed
Texas 18	Eugene Worley	Democratic	1940	Re-elected	Eugene Worley (D) 74.0% Frank T. O'Brien (R) 26.0%
Texas 20	Paul J. Kilday	Democratic	1938	Re-elected	Paul J. Kilday (D) Unopposed
