District	Name	Party	Home city/town	First elected
1	Matthew Ritter	Dem	Hartford	2010
2	Dan Carter	Rep	Bethel	2010
3	Minnie Gonzalez	Dem	Hartford	1996
4	Angel Acre	Dem	Hartford	2012
5	Brandon McGee	Dem	Hartford	2012
6	Edwin Vargas	Dem	Hartford	2012
7	Douglas McCrory	Dem	Hartford	2004
8	Timothy Ackert	Rep	Coventry	2010
9	Jason Rojas	Dem	East Hartford	2008
10	Henry Genga	Dem	East Hartford	2006
11	Tim Larson	Dem	East Hartford	2008
12	Geoff Luxenberg	Dem	Manchester	2010
13	Joe Diminico	Dem	Manchester	2012
14	Bill Aman	Rep	South Windsor	2004
15	Dave Baram	Dem	Bloomfield	2009
16	John K. Hampton	Dem	Simsbury	2012
17	Timothy LeGeyt	Rep	Canton	2008
18	Andy Fleischmann	Dem	West Hartford	1994
19	Brian Becker	Dem	West Hartford	2010
20	Joseph Verrengia	Dem	West Hartford	2011
21	Mike Demicco	Dem	Farmington	2012
22	Elizabeth Boukus	Dem	Plainville	1994
23	Marilyn Giuliano	Rep	Old Saybrook	2002
24	Rick Lopes	Dem	New Britain	2012
25	Bobby Sanchez	Dem	New Britain	2011
26	Peter Tercyak	Dem	New Britain	2003
27	Sandy Nafis	Dem	Newington	1998
28	Russell Morin	Dem	Wethersfield	2006
29	Antonio Guerrera	Dem	Rocky Hill	2001
30	Joe Aresimowicz	Dem	Berlin	2004
31	Prasad Srinivasan	Rep	Glastonbury	2010
32	Christie Carpino	Rep	Cromwell	2010
33	Joseph Serra	Dem	Middletown	1992
34	Melissa Ziobron	Rep	East Hampton	2012
35	Tom Vicino	Dem	Westbrook	2012
36	Philip J. Miller	Dem	Essex	2011
37	Ed Jutila	Dem	Niantic	2004
38	Elizabeth Ritter	Dem	Waterford	2004
39	Ernest Hewett	Dem	New London	2004
40	Edward Moukawsher	Dem	Groton	2002
41	Elissa Wright	Dem	Groton	2006
42	Timothy Bowles	Dem	Ledyard	2012
43	Diana Urban	Dem	North Stonington	2000
44	Mae Flexer	Dem	Killingly	2008
45	Steve Mikutel	Dem	Griswold	1992
46	Emmett Riley	Dem	Norwich	2002
47	Brian Sear	Dem	Norwich	2012
48	Linda Orange	Dem	Colchester	1996
49	Susan Johnson	Dem	Windham	2008
50	Mike Alberts	Rep	Woodstock	2004
51	Daniel Rovero	Dem	Dayville	2010
52	Penny Bacchiochi	Rep	Somers	2002
53	Sam Belsito	Rep	Tolland	2013
54	Gregory Haddad	Dem	Mansfield	2010
55	Pamela Sawyer	Rep	Bolton	1992
56	Claire Janowski	Dem	Vernon	2000
57	Christopher Davis	Rep	Broad Brook	2010
58	David Alexander	Dem	Enfield	2012
59	David William Kiner	Dem	Enfield	2010
60	Peggy Sayers	Dem	Windsor Locks	1998
61	Elaine O'Brien	Dem	Suffield	2010
62	William Simanski	Rep	Granby	2010
63	Jay Case	Rep	Colebrook	2012
64	Roberta Willis	Dem	Salisbury	2000
65	Michelle Cook	Dem	Torrington	2008
66	Craig Miner	Rep	Litchfield	2000
67	Cecilia Buck-Taylor	Rep	New Milford	2012
68	Sean Williams	Rep	Watertown	2003
