Season	Series	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2007	Formula First Manfeild Winter Series	3	0	0	1	1	170	14th
2007-08	OEM Supply NZ Formula First Championship	24	4	1	5	18	1368	3rd
2008	Formula Ford Manfeild Winter Series	9	5	1	3	7	610	3rd
2008	Australian Formula Ford Championship	2	0	0	0	0	0	NC
2008-09	MTA Formula Ford Championship	21	11	3	4	15	1215	1st
2009	Australian Formula Ford Championship	16	1	0	2	6	164	6th
2009	ADAC Formel Masters	6	0	1	0	2	52	8th
2009	Toyota Racing Series - Hamilton 400 Trophy	2	2	2	1	2	150	1st
2010	ADAC Formel Masters	18	12	2	9	17	315	1st
2010	Michelin Formula Renault Winter Cup	6	1	0	1	3	99	5th
2010	Toyota Racing Series	6	1	0	2	3	362	10th
2011	German Formula Three Championship	18	13	10	8	16	181	1st
2011	GP3 Series	4	1	0	0	1	7	20th
2012	Formula Renault 3.5 Series	5	0	0	0	0	8	22nd
