Rank	Gymnast	Difficulty score	Routine score	Total
1	Henrik Stehlik ( GER )	—	28.10	69.10
1	Henrik Stehlik ( GER )	15.6	41.00	69.10
2	Yuri Nikitin ( UKR )	—	27.60	69.00
2	Yuri Nikitin ( UKR )	16.2	41.40	69.00
3	Alexander Rusakov ( RUS )	—	28.10	69.00
3	Alexander Rusakov ( RUS )	16.2	40.90	69.00
4	Alexander Moskalenko ( RUS )	—	28.30	68.90
4	Alexander Moskalenko ( RUS )	16.0	40.60	68.90
5	Dimitri Polyarush ( BLR )	—	27.50	67.80
5	Dimitri Polyarush ( BLR )	15.6	40.30	67.80
6	David Martin ( FRA )	—	26.70	67.40
6	David Martin ( FRA )	15.8	40.70	67.40
7	Gary Smith ( GBR )	—	27.20	67.20
7	Gary Smith ( GBR )	15.8	40.00	67.20
8	Nuno Merino ( POR )	—	26.70	66.90
8	Nuno Merino ( POR )	16.2	40.20	66.90
9	Ludovic Martin ( SUI )	—	27.20	66.80
9	Ludovic Martin ( SUI )	15.8	39.60	66.80
10	Mu Yong-Feng ( CHN )	—	26.30	65.20
10	Mu Yong-Feng ( CHN )	15.4	38.90	65.20
11	Mathieu Turgeon ( CAN )	—	26.60	63.40
11	Mathieu Turgeon ( CAN )	16.2	36.80	63.40
12	Michail Pelivanidis ( GRE )	—	25.90	62.60
12	Michail Pelivanidis ( GRE )	14.9	36.70	62.60
13	Flavio Cannone ( ITA )	—	27.30	57.60
13	Flavio Cannone ( ITA )	11.3	30.30	57.60
14	Nikolai Kazak ( BLR )	—	28.00	52.80
14	Nikolai Kazak ( BLR )	11.3	24.80	52.80
15	Alan Villafuerte ( NED )	—	27.00	44.90
15	Alan Villafuerte ( NED )	8.4	17.90	44.90
16	Peter Jensen ( DEN )	—	26.50	32.70
16	Peter Jensen ( DEN )	3.5	6.20	32.70
