Name	Bodyweight	Snatch	Clean & Jerk	Total (kg)
Joël MacKenzie ( CUB )	101.40	175.0	205.0	380.0
Pedro Stetsiuk ( ARG )	102.45	160.0	180.0	340.0
Damian Abbiate ( ARG )	104.45	150.0	188.0	338.0
Bruno Brandão ( BRA )	99.10	157.0	180.0	337.0
Christian López ( GUA )	104.70	153.0	182.0	335.0
Víctor Osorio ( CHI )	103.05	140.0	176.0	316.0
Ivorn McKnee ( BAR )	103.25	140.0	—	DNF
José Espinoza ( NCA )	99.40	—	—	DNF
Boris Burov ( ECU )	100.40	—	—	DNF
Akos Sandor ( CAN )	104.95	—	—	DNF
Fabrício Mafra ( BRA )	100.75	151.0	187.0	DSQ
