Rank	Population	Name	Former Name	Municipality
46	98	Akunnaaq	—	Qaasuitsup
46	98	Ikerasaarsuk	—	Qaasuitsup
46	98	Narsarmijit	Friedrichsthal Frederiksdal Herjolfsnes	Kujalleq
49	92	Itilleq	—	Qeqqata
50	87	Kitsissuarsuit	Hunde Ejlande	Qaasuitsup
51	83	Napasoq	—	Qeqqata
52	82	Iginniarfik	—	Qaasuitsup
53	80	Illorsuit	—	Qaasuitsup
53	80	Isortoq	—	Sermersooq
55	78	Eqalugaarsuit	—	Kujalleq
55	78	Nuugaatsiaq	—	Qaasuitsup
57	78	Kapisillit	—	Sermersooq
58	77	Ikamiut	—	Qaasuitsup
59	59	Savissivik Havighivik	—	Qaasuitsup
60	57	Ilimanaq	Claushavn	Qaasuitsup
60	57	Naajaat	—	Qaasuitsup
60	57	Siorapaluk Hiurapaluk	—	Qaasuitsup
60	57	Tasiusaq	—	Kujalleq
64	52	Niaqornat	—	Qaasuitsup
65	47	Qassiarsuk	Brattahlíð	Kujalleq
66	42	Kangilinnguit	Grønnedal Green Valley	Sermersooq
67	40	Ammassivik	Sletten	Kujalleq
68	39	Oqaatsut	Rodebay	Qaasuitsup
69	37	Saarloq	—	Kujalleq
70	34	Kangerluk	—	Qaasuitsup
71	29	Qeqertat	—	Qaasuitsup
72	27	Igaliku	Garðar Igaliko	Kujalleq
73	26	Nutaarmiut	—	Qaasuitsup
74	22	Qassimiut	—	Kujalleq
