Date	Opponent	Score	Loss	Record
August 1	Tigers	8 - 5	Leal (8-8)	48-53
August 2	Brewers	9 - 4	McClure (8-4)	49-53
August 3	Brewers	7 - 4	Clancy (8-10)	49-54
August 4	Brewers	8 - 0	Gott (2-7)	49-55
August 5	@ Tigers	5 - 2	Leal (8-9)	49-56
August 5	@ Tigers	7 - 4	Jackson (3-8)	49-57
August 6	@ Tigers	6 - 0	Stieb (11-11)	49-58
August 7	@ Tigers	7 - 4	Pashnick (3-4)	50-58
August 8	@ Tigers	7 - 4	Underwood (3-8)	51-58
August 8	@ Tigers	7 - 4	Rucker (2-2)	52-58
August 9	Red Sox	4 - 2	Eckersley (11-10)	53-58
August 10	Red Sox	4 - 0	Torrez (7-7)	54-58
August 11	Red Sox	4 - 3	Stanley (7-5)	55-58
August 12	@ Brewers	7 - 1	Gott (3-8)	55-59
August 12	@ Brewers	4 - 3	Murray (7-4)	55-60
August 13	@ Brewers	3 - 1	Leal (8-10)	55-61
August 14	@ Brewers	4 - 2	Caldwell (10-11)	56-61
August 15	@ Brewers	3 - 2	Slaton (9-4)	57-61
August 16	Indians	2 - 1	Waits (1-12)	58-61
August 17	Indians	6 - 5	McLaughlin (8-5)	58-62
August 17	Indians	9 - 5	Geisel (1-1)	58-63
August 20	@ Yankees	4 - 2	Stieb (13-12)	58-64
August 21	@ Yankees	3 - 1	Guidry (11-5)	59-64
August 22	@ Yankees	3 - 1	Gott (4-9)	59-65
August 23	@ Yankees	4 - 3	Leal (8-11)	59-66
August 24	@ Orioles	7 - 3 (10)	McLaughlin (8-6)	59-67
August 25	@ Orioles	8 - 3	Clancy (11-11)	59-68
August 26	@ Orioles	12 - 5	Gott (4-10)	59-69
August 27	Yankees	10 - 3	Righetti (8-6)	60-69
August 28	Yankees	3 - 2 (11)	LaRoche (4-2)	61-69
August 29	Yankees	8 - 2	Clancy (11-12)	61-70
August 30	Orioles	6 - 3	Eichhorn (0-1)	61-71
August 31	Orioles	1 - 0	Leal (9-12)	61-72
