Railway	Builder	Built	Wheels	Location	ObjectNumber
SECR	SECR Ashford	1901	4-4-0	York	1975-7006
MR	MR Derby	1902 Midland Railway 1000 was rebuilt in 1914.	4-4-0	Bo'ness	1975-7018
GNR	GNR Doncaster	1902	4-4-2	Barrow Hill	1975-7005
GWR	GWR Swindon	1903	4-4-0	Toddington	1978-7025
GER	GER Stratford	1904	0-6-0T	Bressingham	1975-7003
GER	GER Stratford	1905	0-6-0	Barrow Hill	1978-7026
GWR	GWR Swindon	1905	2-8-0	Shildon	1976-7001
GWR	Swindon Works	1907	4-6-0	Swindon	1978-7027
LTSR	Stephenson	1909	4-4-2T	Bressingham	1978-7028
Longmoor	Avonside	1910	0-6-0ST	Basingstoke	2008-7159
GCR	GCR Gorton	1911	2-8-0	GCR	1975-7027
NER	NER Darlington	1919	0-8-0	Darlington	1978-7029
GCR	GCR Gorton	1920	4-4-0	Barrow Hill	1978-7030
LNWR	LNWR Crewe	1921	0-8-0	Bury	1978-7031
NSR	NSR Stoke	1922	0-6-2T	Shildon	1978-7032
