Isotope	Half-life	Decay mode	Discovery year	Reaction
263 Hs	0.74 ms	α, SF	2008	208 Pb( 56 Fe,n)
264 Hs	~0.8 ms	α, SF	1986	207 Pb( 58 Fe,n)
265 Hs	1.9 ms	α, SF	1984	208 Pb( 58 Fe,n)
265m Hs	0.3 ms	α	1984	208 Pb( 58 Fe,n)
266 Hs	2.3 ms	α, SF	2000	270 Ds(—,α)
267 Hs	52 ms	α, SF	1995	238 U( 34 S,5n)
267m Hs	0.8 s	α	1995	238 U( 34 S,5n)
268 Hs	0.4 s	α	2009	238 U( 34 S,4n)
269 Hs	3.6 s	α	1996	277 Cn(—,2α)
269m Hs	9.7 s	α	2004	248 Cm( 26 Mg,5n)
270 Hs	3.6 s	α	2004	248 Cm( 26 Mg,4n)
271 Hs	~4 s	α	2004	248 Cm( 26 Mg,3n)
272 Hs	40? s	α, SF ?	unknown	—
273 Hs	0.24 s	α	2004	285 Fl(—,3α)
274 Hs	1? min	α, SF ?	unknown	—
275 Hs	0.15 s	α	2003	287 Fl(—,3α)
276 Hs	1? h	α, SF ?	unknown	—
277 Hs	2 s	α	2009	289 Fl(—,3α)
277m Hs ?	~11 min ?	α	1999	289 Fl(—,3α)
