Tour	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
Malaysia Super Series	Lee Chong Wei	Tine Rasmussen	Jung Jae-sung Lee Yong-dae	Lee Hyo-jung Lee Kyung-won	Nova Widianto Lilyana Natsir
Korea Open Super Series	Peter Gade	Tine Rasmussen	Mathias Boe Carsten Mogensen	Cheng Wen-hsing Chien Yu-chin	Lee Yong-dae Lee Hyo-jung
All England Super Series	Lin Dan	Wang Yihan	Cai Yun Fu Haifeng	Zhang Yawen Zhao Tingting	He Hanbin Yu Yang
Swiss Open Super Series	Lee Chong Wei	Wang Yihan	Koo Kien Keat Tan Boon Heong	Du Jing Yu Yang	Zheng Bo Ma Jin
Singapore Super Series	Bao Chunlai	Zhou Mi	Anthony Clark Nathan Robertson	Zhang Yawen Zhao Tingting	Zheng Bo Ma Jin
Indonesia Super Series	Lee Chong Wei	Saina Nehwal	Jung Jae-sung Lee Yong-dae	Chin Eei Hui Wong Pei Tty	Zheng Bo Ma Jin
China Masters Super Series	Lin Dan	Wang Shixian	Guo Zhendong Xu Chen	Du Jing Yu Yang	Tao Jiaming Wang Xiaoli
Japan Super Series	Bao Chunlai	Wang Yihan	Markis Kido Hendra Setiawan	Ma Jin Wang Xiaoli	Songphon Anugritayawon Kunchala Voravichitchaikul
Denmark Super Series	Simon Santoso	Tine Rasmussen	Koo Kien Keat Tan Boon Heong	Pan Pan Zhang Yawen	Joachim Fischer Nielsen Christinna Pedersen
French Super Series	Lin Dan	Wang Yihan	Markis Kido Hendra Setiawan	Ma Jin Wang Xiaoli	Nova Widianto Lilyana Natsir
Hong Kong Super Series	Lee Chong Wei	Wang Yihan	Jung Jae-sung Lee Yong-dae	Ma Jin Wang Xiaoli	Robert Mateusiak Nadiezda Kostiuczyk
China Open Super Series	Lin Dan	Jiang Yanjiao	Jung Jae-sung Lee Yong-dae	Tian Qing Zhang Yawen	Lee Yong-dae Lee Hyo-jung
