Location	Year	Champion	Runner-up	Score	Name
Indian Wells	1989	Hana Mandlíková Pam Shriver	Rosalyn Fairbank Gretchen Rush-Magers	6–3, 6–7 (4–7) , 6–3	Virginia Slims of Indian Wells
Indian Wells	1990	Jana Novotná Helena Suková	Gigi Fernández Martina Navratilova	6–2, 7–6 (8–6)	Virginia Slims of Indian Wells
Indian Wells	1991	Final not held due to rain	Final not held due to rain	Final not held due to rain	Virginia Slims of Palm Springs
Indian Wells	1992	Claudia Kohde-Kilsch Stephanie Rehe	Jill Hetherington Kathy Rinaldi	6–3, 6–3	Matrix Essentials Evert Cup
Indian Wells	1993	Rennae Stubbs Helena Suková	Ann Grossman Patricia Hy	6–3, 6–4	Matrix Essentials Evert Cup
Indian Wells	1994	Lindsay Davenport Lisa Raymond	Manon Bollegraf Helena Suková	6–2, 6–4	Evert Cup
Indian Wells	1995	Lindsay Davenport Lisa Raymond	Larisa Savchenko Neiland Arantxa Sánchez	2–6, 6–4, 6–3	State Farm Evert Cup
Indian Wells	↓ Tier I tournament ↓	↓ Tier I tournament ↓	↓ Tier I tournament ↓	↓ Tier I tournament ↓	State Farm Evert Cup
Indian Wells	1996	Chanda Rubin Brenda Schultz-McCarthy	Julie Halard Nathalie Tauziat	6–1, 6–4	State Farm Evert Cup
Indian Wells	1997	Lindsay Davenport Natasha Zvereva	Lisa Raymond Nathalie Tauziat	7–5, 6–2	State Farm Evert Cup
Indian Wells	1998	Lindsay Davenport Natasha Zvereva	Alexandra Fusai Nathalie Tauziat	6–4, 2–6, 6–4	State Farm Evert Cup
Indian Wells	1999	Martina Hingis Anna Kournikova	Mary Joe Fernández Jana Novotná	6–2, 6–2	Evert Cup (II)
Indian Wells	2000	Lindsay Davenport Corina Morariu	Anna Kournikova Natasha Zvereva	6–2, 6–3	TMS Indian Wells
Indian Wells	2001	Nicole Arendt Ai Sugiyama	Virginia Ruano Paola Suárez	6–4, 6–4	TMS Indian Wells
Indian Wells	2002	Lisa Raymond Rennae Stubbs	Elena Dementieva Janette Husárová	7–5, 6–0	Pacific Life Open
Indian Wells	2003	Lindsay Davenport Lisa Raymond	Kim Clijsters Ai Sugiyama	3–6, 6–4, 6–1	Pacific Life Open
Indian Wells	2004	Virginia Ruano Paola Suárez	Svetlana Kuznetsova Elena Likhovtseva	6–1, 6–2	Pacific Life Open
Indian Wells	2005	Virginia Ruano Paola Suárez	Nadia Petrova Meghann Shaughnessy	7–6 (7–3) , 6–1	Pacific Life Open
Indian Wells	2006	Lisa Raymond Samantha Stosur	Virginia Ruano Meghann Shaughnessy	6–2, 7–5	Pacific Life Open
Indian Wells	2007	Lisa Raymond Samantha Stosur	Yung-Jan Chan Chia-Jung Chuang	6–3, 7–5	Pacific Life Open
Indian Wells	2008	Dinara Safina Elena Vesnina	Yan Zi Zheng Jie	6–1, 1–6, [10–8]	Pacific Life Open
Indian Wells	↓ Premier Mandatory tournament ↓	↓ Premier Mandatory tournament ↓	↓ Premier Mandatory tournament ↓	↓ Premier Mandatory tournament ↓	↓ Premier Mandatory tournament ↓
Indian Wells	2009	Victoria Azarenka Vera Zvonareva	Gisela Dulko Shahar Pe'er	6–4, 3–6, [10–5]	BNP Paribas Open
Indian Wells	2010	Květa Peschke Katarina Srebotnik	Nadia Petrova Samantha Stosur	6–4, 2–6, [10–5]	BNP Paribas Open
Indian Wells	2011	Sania Mirza Elena Vesnina	Bethanie Mattek-Sands Meghann Shaughnessy	6–0, 7–5	BNP Paribas Open
Indian Wells	2012	Liezel Huber Lisa Raymond	Sania Mirza Elena Vesnina	6–2, 6–3	BNP Paribas Open
Indian Wells	2013	Ekaterina Makarova Elena Vesnina	Nadia Petrova Katarina Srebotnik	6–0, 5–7, [10–6]	BNP Paribas Open
