Vehicle Flight #	Date	Pilot	Velocity (km/h)	Altitude (m)
M2-F1 #0	March 1, 1963	Thompson	135	0
M2-F1 #1	August 16, 1963	Thompson	240	3,650
M2-F1 #2	August 28, 1963	Thompson	240	3,650
M2-F1 #3	August 29, 1963	Thompson	240	3,650
M2-F1 #4	August 30, 1963	Thompson	240	3,650
M2-F1 #5	August 30, 1963	Thompson	240	3,650
M2-F1 #6	September 3, 1963	Thompson	240	3,650
M2-F1 #7	September 3, 1963	Thompson	240	3,650
M2-F1 #8	October 7, 1963	Thompson	240	3,650
M2-F1 #9	October 9, 1963	Thompson	240	3,650
M2-F1 #10	October 15, 1963	Thompson	240	3,650
M2-F1 #11	October 23, 1963	Thompson	240	3,650
M2-F1 #12	October 25, 1963	Thompson	240	3,650
M2-F1 #13	October 25, 1963	Thompson	240	3,650
M2-F1 #14	November 8, 1963	Thompson	240	3,650
M2-F1 #15	November 8, 1963	Thompson	240	3,650
M2-F1 #16	November 8, 1963	Thompson	240	3,650
M2-F1 #17	December 3, 1963	Thompson	240	3,650
M2-F1 #18	December 3, 1963	Yeager	240	3,650
M2-F1 #19	December 3, 1963	Peterson	240	3,650
M2-F1 #20	December 3, 1963	Peterson	240	3,650
M2-F1 #21	January 29, 1964	Thompson	240	3,650
M2-F1 #22	January 29, 1964	Thompson	240	3,650
M2-F1 #23	January 29, 1964	Peterson	240	3,650
M2-F1 #24	January 29, 1964	Peterson	240	3,650
M2-F1 #25	January 29, 1964	Yeager	240	3,650
M2-F1 #26	January 29, 1964	Yeager	240	3,650
M2-F1 #27	January 30, 1964	Yeager	240	3,650
M2-F1 #28	January 30, 1964	Yeager	240	3,650
M2-F1 #29	January 30, 1964	Mullick	240	3,650
M2-F1 #30	January 30, 1964	Mullick	240	3,650
M2-F1 #31	February 28, 1964	Thompson	240	3,650
M2-F1 #32	February 28, 1964	Thompson	240	3,650
M2-F1 #33	March 30, 1964	Peterson	240	3,650
M2-F1 #34	April 9, 1964	Thompson	240	3,650
M2-F1 #35	April 9, 1964	Thompson	240	3,650
M2-F1 #36	April 9, 1964	Peterson	240	3,650
M2-F1 #37	April 9, 1964	Peterson	240	3,650
M2-F1 #38	April 9, 1964	Peterson	240	3,650
M2-F1 #39	May 19, 1964	Peterson	240	3,650
M2-F1 #40	May 19, 1964	Peterson	240	3,650
M2-F1 #41	June 3, 1964	Thompson	240	3,650
M2-F1 #42	July 24, 1964	Peterson	240	3,650
M2-F1 #43	July 24, 1964	Peterson	240	3,650
M2-F1 #44	July 24, 1964	Peterson	240	3,650
M2-F1 #45	August 18, 1964	Thompson	240	3,650
M2-F1 #46	August 21, 1964	Thompson	240	3,650
M2-F1 #47	August 21, 1964	Thompson	240	3,650
M2-F1 #48	August 21, 1964	Thompson	240	3,650
M2-F1 #49	August 21, 1964	Thompson	240	3,650
M2-F1 #50	February 16, 1965	Thompson	240	3,650
M2-F1 #51	May 27, 1965	Thompson	240	3,650
M2-F1 #52	May 27, 1965	Thompson	240	3,650
M2-F1 #53	May 27, 1965	Thompson	240	3,650
M2-F1 #54	May 27, 1965	Thompson	240	3,650
M2-F1 #55	May 27, 1965	Sorlie	240	3,650
M2-F1 #56	May 27, 1965	Sorlie	240	3,650
M2-F1 #57	May 27, 1965	Sorlie	240	3,650
M2-F1 #58	May 28, 1965	Thompson	240	3,650
M2-F1 #59	May 28, 1965	Sorlie	240	3,650
M2-F1 #60	May 28, 1965	Sorlie	240	3,650
M2-F1 #61	July 16, 1965	Thompson	240	3,650
M2-F1 #62	July 16, 1965	Dana	240	3,650
M2-F1 #63	July 16, 1965	Gentry	200	10
M2-F1 #64	August 30, 1965	Thompson	240	3,650
M2-F1 #65	August 30, 1965	Thompson	240	3,650
M2-F1 #66	August 30, 1965	Thompson	240	3,650
M2-F1 #67	August 31, 1965	Thompson	240	3,650
M2-F1 #68	October 6, 1965	Thompson	240	3,650
M2-F1 #69	October 6, 1965	Thompson	240	3,650
M2-F1 #70	October 8, 1965	Thompson	240	3,650
M2-F1 #71	March 28, 1966	Thompson	240	3,650
M2-F1 #72	March 28, 1966	Thompson	240	3,650
M2-F1 #73	August 4, 1966	Peterson	240	3,650
M2-F1 #74	August 5, 1966	Peterson	240	3,650
M2-F1 #75	August 5, 1966	Peterson	240	3,650
M2-F1 #76	August 5, 1966	Peterson	240	3,650
M2-F1 #77	August 16, 1966	Gentry	200	10
