Dance	Best dancer(s)	Best score	Worst dancer(s)	Worst score
Cha Cha Cha	Alesha Dixon	39	Gethin Jones/Kenny Logan	22
Jive	Gethin Jones	37	Dominic Littlewood/Penny Lancaster	25
Rumba	Kelly Brook/Matt Di Angelo	33	Letitia Dean/Kenny Logan	23
Paso doble	Alesha Dixon	36	Kenny Logan/Kate Garraway	21
Samba	Alesha Dixon	36	Kate Garraway	16
Waltz	Matt Di Angelo	40	Brian Capron	18
Quickstep	Alesha Dixon	38	Kate Garraway	15
Foxtrot	Alesha Dixon	36	John Barnes	24
Tango	Alesha Dixon	38	Kate Garraway	19
Viennese Waltz	Alesha Dixon	38	Kenny Logan	26
American Smooth	Gethin Jones	38	John Barnes	22
Salsa	Matt Di Angelo	39	Kate Garraway	18
Argentine Tango	Alesha Dixon	38	Matt Di Angelo	35
