Date	Opponent	Location	Result	Attendance
09/12/1987	Richmond	Groves Stadium • Winston-Salem, NC	W 24-0	14,250
09/19/1987*	North Carolina State	Groves Stadium • Winston-Salem, NC	W 21-3	23,600
09/26/1987	Appalachian State	Groves Stadium • Winston-Salem, NC	W 16-12	33,400
10/01/1987	at Army	Michie Stadium • West Point, NY	W 17-13	36,690
10/10/1987*	at North Carolina	Kenan Memorial Stadium • Chapel Hill, NC	W 22-14	50,000
10/17/1987*	Maryland	Groves Stadium • Winston-Salem, NC	L 0-14	25,175
10/24/1987*	at Virginia	Scott Stadium • Charlottesville, VA	L 21-35	32,500
10/31/1987*	at #14 Clemson	Memorial Stadium • Clemson, SC	L 17-31	69,711
11/07/1987*	Duke	Groves Stadium • Winston-Salem, NC	W 30-27	23,500
11/14/1987	#14 South Carolina	Groves Stadium • Winston-Salem, NC	L 0-30	34,720
11/21/1987*	at Georgia Tech	Grant Field • Atlanta, GA	W 33-6	21,114
