Cyclist	Country	Team	Time	UCI Points
Vladimir Karpets	Russia	Caisse d'Epargne	22h 21' 05"	50
Denis Menchov	Russia	Rabobank	+ 40"	40
Michael Rogers	Australia	T-Mobile Team	+ 40"	35
Christophe Moreau	France	AG2R Prévoyance	+ 1' 34"	30
Óscar Sevilla	Spain	Relax-GAM	+ 1' 34"	N/A
Francisco Mancebo	Spain	Relax-GAM	+ 1' 59"	N/A
John Gadret	France	AG2R Prévoyance	+ 2' 19"	15
Marcos-Antonio Serrano	Spain	Karpin-Galicia	+ 2' 39"	N/A
Laurens ten Dam	Netherlands	Unibet.com	+ 2' 44"	5
Janez Brajkovič	Slovenia	Discovery Channel	+ 2' 47"	2
