Team	Make	Drivers	Tyre	Rounds
Cars Tokai Dream28	Mooncraft	Kazuho Takahashi	Y	All
Cars Tokai Dream28	Mooncraft	Hiroki Katoh	Y	All
Cars Tokai Dream28	Mooncraft	Hiroki Yoshimoto	Y	6
Team Uematsu Nova	Vemac	Ryohei Sakaguchi	Y	All
Team Uematsu Nova	Vemac	Masaki Matsushita	Y	All
Team Uematsu Nova	Vemac	Tadao Uematsu	Y	6
Team Uematsu Nova	Vemac	Tadao Uematsu	Y	1, 3, 9
Team Uematsu Nova	Vemac	Katsuhiko Tsutsui	Y	1, 3, 9
Team Mach	Vemac	Tetsuji Tamanaka	Y	All
Team Mach	Vemac	Naoya Yamano	Y	1–7, 9
Team Mach	Vemac	Katsuhiko Tsutsui	Y	6, 8
RE Amemiya Racing	Mazda	Hiroyuki Iiri	Y	All
RE Amemiya Racing	Mazda	Ryo Orime	Y	All
RE Amemiya Racing	Mazda	Hiroyuki Matsumura	Y	6
A&S Racing	Chevrolet	Tatsuya Tanigawa	K	3, 6, 8
A&S Racing	Chevrolet	Hirofumi Takei	K	3, 6, 8
A&S Racing	Chevrolet	Takayuki Matsumoto	K	6
Jim Gainer Racing	Ferrari	Tetsuya Tanaka	Y	All
Jim Gainer Racing	Ferrari	Masayuki Ueda	Y	All
Racing Project Bandoh	Toyota	Manabu Orido	Y	1–3
Racing Project Bandoh	Toyota	Tsubasa Abe	Y	1–3
Racing Project Bandoh	Lexus	Manabu Orido	Y	4–9
Racing Project Bandoh	Lexus	Tsubasa Abe	Y	4–9
Racing Project Bandoh	Lexus	Yuhi Sekiguchi	Y	6
Team Taisan with Nishizawa	Porsche	Nobuteru Taniguchi	Y	All
Team Taisan with Nishizawa	Porsche	Shinichi Yamaji	Y	1–8
Team Taisan with Nishizawa	Porsche	Keita Sawa	Y	6
Team Taisan with Nishizawa	Porsche	Dominik Farnbacher	Y	9
Team Shadow	Porsche	Takashi Inoue	H	1, 3, 6–7, 9
Team Shadow	Porsche	Hwang Jin Woo	H	1, 3, 6–7
Team Shadow	Porsche	Yasuhiro Takasaki	H	6
Team Shadow	Porsche	Koji Aoyama	H	9
apr	Toyota	Kyosuke Mineo	M	1–5, 7–9
apr	Toyota	Yuya Sakamoto	M	1–5, 7–9
apr	Toyota	Kohei Hirate	M	1–5, 8–9
apr	Toyota	Keisuke Kunimoto	M	All
apr	Toyota	Yuya Sakamoto	M	6
apr	Toyota	Kazuya Oshima	M	6
apr	Toyota	Hideki Yamauchi	M	7
Hankook KTR	Porsche	Mitsuhiro Kinoshita	H	All
Hankook KTR	Porsche	Masami Kageyama	H	All
Autobacs Racing Team Aguri	ASL	Morio Nitta	M	All
Autobacs Racing Team Aguri	ASL	Shinichi Takagi	M	All
Autobacs Racing Team Aguri	ASL	Kyosuke Mineo	M	6
MOLA	Nissan	Kazuki Hoshino	M	All
MOLA	Nissan	Hironobu Yasuda	M	All
Team Takeuchi with Shift	Lexus	Takuya Kurosawa	K	3–9
Team Takeuchi with Shift	Lexus	Takuto Iguchi	K	3–9
Team Takeuchi with Shift	Lexus	Hideki Yamauchi	K	6
Willcom R&D Sport	Vemac	Shinsuke Shibahara	Y	1, 5–9
Willcom R&D Sport	Vemac	Haruki Kurosawa	Y	All
Willcom R&D Sport	Vemac	Shogo Mitsuyama	Y	2–4, 6
JLOC	Lamborghini	Koji Yamanishi	Y	All
JLOC	Lamborghini	Atsushi Yogo	Y	All
JLOC	Lamborghini	Hisashi Wada	Y	All
JLOC	Lamborghini	Muneyuki Kurihara	Y	All
JLOC	Lamborghini	Yoshihisa Namekata	Y	6
JLOC	Lamborghini	Hideshi Matsuda	Y	All
JLOC	Lamborghini	Naohiro Furuya	Y	All
JLOC	Lamborghini	Yuya Sakamoto	Y	6
Team Gaikokuya	Porsche	Takehide Maeda	Y	1
Team Gaikokuya	Porsche	Yutaka Yamagishi	Y	1–7, 9
Team Gaikokuya	Porsche	Akazame Oyaji	Y	2–3
Team Gaikokuya	Porsche	Yoshimi Ishibashi	Y	4–7
Team Gaikokuya	Porsche	Kazuyoshi Takamizawa	Y	6, 9
Cusco Racing	Subaru	Tetsuya Yamano	D	All
Cusco Racing	Subaru	Kota Sasaki	D	1–7
Cusco Racing	Subaru	Carlo van Dam	D	8–9
Team Daishin	Nissan	Takayuki Aoki	Y	All
Team Daishin	Nissan	Tomonobu Fujii	Y	All
Arktech Motorsports	Porsche	Hidetoshi Mitsusada	K	All
Arktech Motorsports	Porsche	Daisuke Ikeda	K	All
Arktech Motorsports	Porsche	Hiroshi Koizumi	K	1–6
Arktech Motorsports	Porsche	Guts Jyonai	K	1
Arktech Motorsports	Porsche	Tsubasa Kurosawa	K	2–6
Arktech Motorsports	Porsche	Paul Ip	K	6
Tomei Sports	Porsche	Takashi Miyamoto	Y	1, 3, 6–9
Tomei Sports	Porsche	Takashi Ohi	Y	1
Tomei Sports	Porsche	Masayuki Kurihara	Y	3, 6–7
Tomei Sports	Porsche	Guts Jyonai	Y	6, 8–9
Avanzza Rosso	Vemac	Shogo Suho	K	1–3, 5–9
Avanzza Rosso	Vemac	Junichiro Yamashita	K	1–3, 5–9
Avanzza Rosso	Vemac	Takamori.com	K	6
Studie & Glad with Asada Racing	BMW	Yasushi Kikuchi	Y	6–7, 9
Studie & Glad with Asada Racing	BMW	Shozo Tagahara	Y	6–7, 9
