Place	Player	Country	Score	To par	Money ( $ )
T1	Lloyd Mangrum	United States	74-70-68-72=284	–4	Playoff
T1	Vic Ghezzi	United States	71-69-72-72=284	–4	Playoff
T1	Byron Nelson	United States	71-71-69-73=284	–4	Playoff
T4	Herman Barron	United States	72-72-72-69=285	–3	550
T4	Ben Hogan	United States	72-68-73-72=285	–3	550
T6	Jimmy Demaret	United States	71-74-73-68=286	–2	350
T6	Ed Oliver	United States	71-71-74-70=286	–2	350
T8	Chick Harbert	United States	72-78-67-70=287	–1	225
T8	Dick Metz	United States	76-70-72-69=287	–1	225
T10	Dutch Harrison	United States	75-71-72-70=288	E	175
T10	Lawson Little	United States	72-69-76-71=288	E	175
