Rank	Nation	Gold	Silver	Bronze	Total
1	France	33	20	11	64
2	Morocco	12	14	14	40
3	Egypt	6	1	7	14
4	Romania	3	8	6	17
5	Canada	3	6	9	10
6	Ivory Coast	3	5	2	10
7	Tunisia	3	3	7	13
8	Burkina Faso	2	3	6	11
9	Chad	2	0	0	2
10	Senegal	1	4	5	10
11	Niger	1	1	1	3
12	Seychelles	1	1	0	2
13	Rwanda	1	0	2	3
14	Benin	1	0	0	1
15	Mauritius	0	2	2	4
16	Cameroon	0	1	4	5
17	Gabon	0	1	2	3
17	Luxembourg	0	1	2	3
19	Quebec	0	1	1	2
19	Mali	0	1	1	2
21	French Community of Belgium	0	0	4	4
22	Cape Verde	0	0	1	1
22	Republic of the Congo	0	0	1	1
22	Lebanon	0	0	1	1
22	Madagascar	0	0	1	1
22	Switzerland	0	0	1	1
