Name	Population (2011)	Population (2006)	Change (%)	Area (km²)	Population density
Albert	323	339	-4.7	769.55	0.4
Alexander	2983	2978	0.2	1568.66	1.9
Alonsa	1270	1446	-12.2	2977.5	0.4
Archie	325	330	-1.5	577.68	0.6
Argyle	1071	1073	-0.2	770.44	1.4
Armstrong	1835	1919	-4.4	1864.96	1
Arthur	413	440	-6.1	765.77	0.5
Bifrost	2976	2972	0.1	1642.58	1.8
Birtle	632	666	-5.1	849.13	0.7
Blanshard	526	586	-10.2	578.98	0.9
Brenda	469	549	-14.6	766	0.6
Brokenhead	4635	3940	17.6	750.54	6.2
Cameron	420	433	-3	759.15	0.6
Cartier	3153	3162	-0.3	553.42	5.7
Clanwilliam	414	484	-14.5	350.78	1.2
Coldwell	1351	1339	0.9	901.84	1.5
Cornwallis	4378	4058	7.9	500.88	8.7
Daly	830	868	-4.4	562.45	1.5
Dauphin	2200	2328	-5.5	1516.1	1.5
De Salaberry	3450	3349	3	670.29	5.1
Dufferin	2394	2298	4.2	915.54	2.6
East St. Paul	9046	8733	3.6	42.1	214.9
Edward	574	621	-7.6	769.14	0.7
Ellice	392	423	-7.3	572.74	0.7
Elton	1257	1285	-2.2	571.85	2.2
Eriksdale	846	911	-7.1	784.76	1.1
Ethelbert	354	383	-7.6	1134.5	0.3
Fisher	1704	1944	-12.3	1481.35	1.2
Franklin	1768	1768	0	953.34	1.9
Gilbert Plains	812	834	-2.6	1049.14	0.8
Gimli	5845	5797	0.8	319.25	18.3
Glenella	522	517	1	497.14	1.1
Glenwood	602	640	-5.9	577.58	1
Grahamdale	1354	1416	-4.4	2384.62	0.6
Grandview	649	736	-11.8	1153.42	0.6
Grey	2025	2004	1	958.49	2.1
Hamiota	420	437	-3.9	572.38	0.7
Hanover	14026	11871	18.2	740.31	18.9
Harrison	864	812	6.4	476.73	1.8
Headingley	3215	2726	17.9	106.98	30.1
Hillsburg	426	484	-12	656.76	0.6
Kelsey	2272	2453	-7.4	867.64	2.6
Killarney-Turtle Mountain	3233	3299	-2	925.13	3.5
La Broquerie	5198	3659	42.1	578.2	9
Lac du Bonnet	2930	2812	4.2	1100.17	2.7
Lakeview	311	342	-9.1	567.87	0.5
Langford	767	787	-2.5	561.95	1.4
Lansdowne	723	750	-3.6	766.29	0.9
Lawrence	456	501	-9	761.64	0.6
Lorne	1884	2003	-5.9	906.82	2.1
Louise	913	819	11.5	932.67	1
Macdonald	6280	5653	11.1	1156.64	5.4
McCreary	476	476	0	522.69	0.9
Miniota	871	904	-3.7	832.75	1
Minitonas	996	1105	-9.9	1197.67	0.8
Minto	644	667	-3.4	363.65	1.8
Montcalm	1309	1317	-0.6	469.41	2.8
Morris	2999	2662	12.7	1041.15	2.9
Morton	698	718	-2.8	1089.88	0.6
Mossey River	539	614	-12.2	1123.06	0.5
Mountain	1104	1336	-17.4	2607.69	0.4
North Cypress	1860	1902	-2.2	1199.92	1.6
North Norfolk	2799	2742	2.1	1158.76	2.4
Oakland	1056	1033	2.2	575.21	1.8
Ochre River	945	929	1.7	535.59	1.8
Odanah	533	540	-1.3	380.25	1.4
Park	935	1003	-6.8	500.85	1.9
Pembina	1561	1712	-8.8	1114.76	1.4
Piney	1720	1755	-2	2433.77	0.7
Pipestone	1447	1419	2	1147.35	1.3
Portage la Prairie	6525	6793	-3.9	1964.32	3.3
Reynolds	1285	1410	-8.9	3573.79	0.4
Rhineland	4373	4125	6	953.42	4.6
Ritchot	5478	5051	8.5	333.53	16.4
Riverside	780	809	-3.6	577.34	1.4
Roblin	932	964	-3.3	716.15	1.3
Rockwood	7964	7692	3.5	1199.76	6.6
Roland	1058	1002	5.6	485.06	2.2
Rosedale	1627	1658	-1.9	865.58	1.9
Rossburn	494	514	-3.9	679.35	0.7
Rosser	1352	1364	-0.9	441.43	3.1
Russell	459	484	-5.2	567.83	0.8
Saskatchewan	570	593	-3.9	563.73	1
Shell River	1084	1219	-11.1	1027.65	1.1
Shellmouth-Boulton	930	921	1	1097.09	0.8
Shoal Lake	1229	1235	-0.5	570.76	2.2
Sifton	789	796	-0.9	768.11	1
Siglunes	1360	1480	-8.1	837.42	1.6
Silver Creek	460	483	-4.8	525.46	0.9
South Cypress	838	834	0.5	1095.08	0.8
South Norfolk	1125	1170	-3.8	732.03	1.5
Springfield	14069	12990	8.3	1100.83	12.8
St. Andrews	11875	11359	4.5	752.7	15.8
St. Clements	10505	9706	8.2	728.65	14.4
St. François Xavier	1240	1087	14.1	204.55	6.1
St. Laurent	1305	1454	-10.2	465.62	2.8
Stanley	8356	6367	31.2	835.59	10
Ste. Anne	4686	4509	3.9	477.92	9.8
Ste. Rose	771	791	-2.5	626.03	1.2
Strathclair	744	840	-11.4	539.96	1.4
Strathcona	643	727	-11.6	485.56	1.3
Stuartburn	1535	1629	-5.8	1161.65	1.3
Swan River	2546	2774	-8.2	1719.47	1.5
Taché	10284	9083	13.2	581.52	17.7
Thompson	1397	1259	11	528.57	2.6
Victoria	1119	1149	-2.6	697.63	1.6
Victoria Beach	374	388	-3.6	20.28	18.4
Wallace	1526	1501	1.7	1148.75	1.3
West St. Paul	4932	4357	13.2	87.66	56.3
Westbourne	1878	1906	-1.5	1261.79	1.5
Whitehead	1533	1402	9.3	562.83	2.7
Whitemouth	1548	1480	4.6	703.02	2.2
Whitewater	645	648	-0.5	584.25	1.1
Winchester	508	594	-14.5	725.58	0.7
Woodlands	3521	3562	-1.2	1177.22	3
Woodworth	860	890	-3.4	817.84	1.1
Total rural municipalities	259320	248860	4.2	101404.5	2.6
