Date	Visitor	Score	Home	Decision	Attendance	Record	Points
December 2	Atlanta Thrashers	4–5	Montreal Canadiens	Price	21,273	14–6–4	32
December 4	New York Rangers	2–6	Montreal Canadiens	Price	21,273	15–6–4	34
December 6	New Jersey Devils	2–1 OT	Montreal Canadiens	Price	21,273	15–6–5	35
December 9	Calgary Flames	1–4	Montreal Canadiens	Halak	21,273	16–6–5	37
December 11	Tampa Bay Lightning	3–1	Montreal Canadiens	Halak	21,273	16–7–5	37
December 13	Washington Capitals	2–1	Montreal Canadiens	Halak	21,273	16–8–5	37
December 16	Montreal Canadiens	2–3	Carolina Hurricanes	Halak	16,434	16–9–5	37
December 18	Philadelphia Flyers	2–5	Montreal Canadiens	Halak	21,273	17–9–5	39
December 20	Buffalo Sabres	3–4 OT	Montreal Canadiens	Halak	21,273	18–9–5	41
December 21	Carolina Hurricanes	3–2 OT	Montreal Canadiens	Price	21,273	18–9–6	42
December 27	Montreal Canadiens	3–2	Pittsburgh Penguins	Price	17,132	19–9–6	44
December 29	Montreal Canadiens	5–2	Florida Panthers	Price	20,741	20–9–6	46
December 30	Montreal Canadiens	2–1 SO	Tampa Bay Lightning	Price	20,454	21–9–6	48
