Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Wayne Allison	FW	44	9	4	2	3	2	51	13
Craig Armstrong	MF	13	1	0	0	0	0	13	1
Simon Baldry	MF	8 (5)	0	1 (1)	0	0	0	9 (6)	0
Paul Barnes	FW	2 (13)	1	1 (1)	0	0 (3)	0	3 (17)	1
Chris Beech	MF	13 (4)	2	2	2	0	0	15 (4)	4
David Beresford	MF	13 (6)	2	1 (1)	0	0 (2)	0	14 (9)	2
Marcus Browning	MF	2 (4)	0	0	0	1 (2)	0	3 (6)	0
Sam Collins	DF	22 (1)	0	3	0	4	0	29 (1)	0
Tom Cowan	DF	5	0	2	0	0	0	7	0
Paul Dalton	MF	7 (2)	3	0	0	3 (1)	1	10 (3)	4
Jon Dyson	DF	10 (4)	1	2	0	0	0	12 (4)	1
Darren Edmondson	DF	1 (2)	0	2 (1)	0	0	0	3 (3)	0
Rob Edwards	MF	45	2	5	0	4	0	54	2
Delroy Facey	FW	5 (15)	3	0 (2)	0	0	0	5 (17)	3
Steve Francis	GK	3	0	0	0	0	0	3	0
Kevin Gray	DF	28 (6)	1	5	0	2 (1)	0	35 (7)	1
Des Hamilton	MF	10	1	0	0	0	0	10	1
Thomas Heary	DF	3	0	0	0	0	0	3	0
Sean Hessey	DF	7 (3)	0	1	0	0	0	8 (3)	0
Barry Horne	MF	20	1	0	0	4	0	24	1
Mark Jackson	DF	5	0	0	0	0	0	5	0
Steve Jenkins	DF	36	1	3	0	4	0	43	1
Grant Johnson	MF	36	4	5	0	4	1	45	5
Ian Lawson	FW	2 (4)	2	0	0	0	0	2 (4)	2
Dwayne Mattis	MF	0 (2)	0	0	0	0	0	0 (2)	0
Andy Morrison	DF	12	0	0	0	3	0	15	0
David Phillips	MF	15 (8)	1	5	0	0	0	20 (8)	1
Lee Richardson	MF	13 (2)	0	0	0	0	0	13 (2)	0
Danny Schofield	MF	1	0	0	0	0	0	1	0
Marcus Stewart	FW	43	22	5	2	4	2	52	26
Ben Thornley	MF	32 (3)	4	3	1	4	0	39 (3)	5
Nico Vaesen	GK	43	0	5	0	4	0	52	0
Jamie Vincent	DF	7	0	0	0	0	0	7	0
