Date	Episode	Performer 1	Performer 2	Performer 3	Performer 4
10 November 1989	1	Greg Proops	Josie Lawrence	Tony Slattery	Mike McShane
17 November 1989	2	Archie Hahn	Josie Lawrence	Tony Slattery	John Sessions
24 November 1989	3	Ron West	Griff Rhys-Jones	Paul Merton	John Sessions
8 December 1989	4	Greg Proops	Josie Lawrence	Paul Rider	Mike McShane
15 December 1989	5	Ryan Stiles	Sandi Toksvig	Tony Slattery	John Sessions
22 December 1989	6	Ron West	Jimmy Mulville	Paul Merton	John Sessions
29 December 1989 (Christmas Edition)	7	Greg Proops	Josie Lawrence	Paul Merton	Sandi Toksvig
5 January 1990	8	Ryan Stiles	Josie Lawrence	Neil Mullarkey	Mike McShane
12 January 1990	9	Archie Hahn	Jonathan Pryce	Paul Merton	John Sessions
19 January 1990	10	Lee Simpson	Jan Ravens	Tony Slattery	Mike McShane
26 January 1990	11	Josie Lawrence	Arthur Smith	Sandi Toksvig	Mike McShane
9 February 1990	12	Mike McShane	Chris Langham	Sandi Toksvig	John Sessions
16 February 1990	13	Greg Proops	Josie Lawrence	Tony Slattery	John Sessions
23 February 1990	14	Ron West	Sandi Toksvig	Tony Slattery	Rory McGrath
2 March 1990	15	Josie Lawrence	Paul Merton	Tony Slattery	Mike McShane
9 March 1990	16	Compilation 1	Compilation 1	Compilation 1	Compilation 1
16 March 1990	17	Compilation 2	Compilation 2	Compilation 2	Compilation 2
