Competition	Round	Opponent	Result	Score	Home/Away	Venue	Attendance	Date
Friendly	N/A	Harlequins RL	N/A	A-A a[› ]	Away	Twickenham Stoop Stadium	N/A	29/01/2009
Super League XIV	3	Leeds Rhinos	Loss	28-6	Away	Headingley Stadium	14,827	06/02/2009 b[› ]
Super League XIV	1	Salford City Reds	Loss	28-16	Away	The Willows	4,026	14/02/2009
Super League XIV	2	Hull	Loss	20-28	Home	Brewery Field	5,272	21/02/2009
Super League XIV	4	St Helens RLFC	Loss	0-4	Home	Brewery Field	6,351	07/03/2009
Super League XIV	5	Hull Kingston Rovers	Loss	48-18	Away	New Craven Park	8,046	15/03/2009
Super League XIV	6	Wakefield Trinity Wildcats	N/A	P-P c[› ]	Home	Brewery Field	N/A	22/03/2009
Super League XIV	7	Warrington Wolves	Loss	27-22	Away	Halliwell Jones Stadium	7,854	29/03/2009
Challenge Cup 2009	4	Hull Kington Rovers	Loss	32-6	Away	New Craven Park	7,104	03/04/2009
Super League XIV	8	Huddersfield Giants	Loss	30-10	Away	Galpharm Stadium	6,407	10/04/2009
Super League XIV	9	Harlequins RL	Loss	18-40	Home	Brewery Field	3,009	13/04/2009
Super League XIV	10	Wigan Warriors	Loss	44-10	Away	JJB Stadium	12,371	19/04/2009
Super League XIV	11	Castleford Tigers	Loss	22-34	Home	Brewery Field	2,857	26/04/2009
Super League XIV	12	Huddersfield Giants	Loss	16-40	Neutral	Murrayfield Stadium	30,122	03/05/2009
Super League XIV	13	Bradford Bulls	Win	24-30	Away	Grattan Stadium	7,602	17/05/2009
Super League XIV	14	Catalans Dragons	Loss	18-30	Home	Brewery Field	2,927	23/05/2009
Super League XIV	6	Wakefield Trinity Wildcats	Loss	6-50	Home	Brewery Field	2,089	30/05/2009
Super League XIV	15	Harlequins RL	Loss	26-6	Away	Twickenham Stoop Stadium	2,245	06/06/2009
Super League XIV	16	Wigan Warriors	Win	22-16	Home	Brewery Field	5,253	13/06/2009
Super League XIV	17	Hull Kingston Rovers	Loss	18-32	Home	Brewery Field	3,015	20/06/2009
Super League XIV	18	St Helens RLFC	Loss	30-0	Away	GPW Recruitment Stadium	8,684	26/06/2009
Super League XIV	19	Warrington Wolves	Loss	6-22	Home	Brewery Field	3,231	04/07/2009
Super League XIV	20	Salford City Reds	Win	25-12	Home	Brewery Field	3,009	11/07/2009
Super League XIV	21	Hull FC	Loss	22-6	Away	KC Stadium	10,397	17/07/2009
Super League XIV	22	Bradford Bulls	Loss	12-34	Home	Brewery Field	3,089	25/07/2009
Super League XIV	23	Catalans Dragons	Loss	34-0	Away	Stade Gilbert Brutus	6,874	01/08/2009
Super League XIV	24	Wakefield Trinity Wildcats	Loss	46-12	Away	Belle Vue	7,893	16/08/2009
Super League XIV	25	Leeds Rhinos	Loss	0-68	Home	Rodney Parade	5,597	22/08/2009
Super League XIV	26	Huddersfield Giants	Loss	16-42	Home	Brewery Field	1,988	05/09/2009
