Rank	Name	Lifespan	Country	Wins	Majors	Winning span	Span (years)
1	Seve Ballesteros	1957–2011	Spain	50	5	1976–1995	20
2	Bernhard Langer	1957–	Germany	42	2	1980–2002	23
3	Tiger Woods	1975–	United States	40	14	1997–2013	17
4	Colin Montgomerie	1963–	Scotland	31	0	1989–2007	19
5	Nick Faldo	1957–	England	30	6	1977–1996	20
6	Ian Woosnam	1958–	Wales	29	1	1982–1997	16
7	Ernie Els	1969–	South Africa	28	4	1994–2013	20
8	José María Olazábal	1966–	Spain	23	2	1986–2005	20
9	Lee Westwood	1973–	England	22	0	1996–2012	17
10	Sam Torrance	1953–	Scotland	21	0	1976–1998	23
11	Miguel Ángel Jiménez	1964–	Spain	19	0	1992–2012	21
T12	Mark James	1953–	England	18	0	1978–1997	20
T12	Sandy Lyle	1958–	Scotland	18	2	1979–1992	14
14	Mark McNulty	1953–	Zimbabwe	16	0	1979–2001	23
T15	Darren Clarke	1968–	Northern Ireland	14	1	1993–2011	19
T15	Retief Goosen	1969–	South Africa	14	2	1996–2007	12
T15	Pádraig Harrington	1971–	Ireland	14	3	1996–2008	13
T15	Greg Norman	1955–	Australia	14	2	1977–1994	18
T15	Thomas Bjørn	1971–	Denmark	14	0	1996–2013	18
20	Vijay Singh	1963–	Fiji	13	3	1989–2008	20
T21	Paul Casey	1977–	England	12	0	2001–2013	13
T21	Ian Poulter	1976–	England	12	0	2000–2012	13
T23	Howard Clark	1954–	England	11	0	1978–1988	11
T23	Robert Karlsson	1969–	Sweden	11	0	1995–2010	16
T25	Bernard Gallacher	1949–	Scotland	10	0	1972–1984	13
T25	Sergio García	1980–	Spain	10	0	1999–2011	13
T25	Martin Kaymer	1984–	Germany	10	1	2008–2011	4
T25	Graham Marsh	1944–	Australia	10	0	1972–1985	14
T29	Brian Barnes	1945–	Scotland	9	0	1972–1981	10
T29	Graeme McDowell	1979–	Northern Ireland	9	1	2002–2013	12
T29	Phil Mickelson	1970–	United States	9	5	2004–2013	10
T29	Manuel Piñero	1952–	Spain	9	0	1974–1985	12
T29	Adam Scott	1980–	Australia	9	1	2003–2013	11
T34	Gordon Brand, Jnr	1958–	Scotland	8	0	1982–1993	12
T34	Michael Campbell	1969–	New Zealand	8	1	2000–2005	6
T34	Tony Jacklin	1944–	England	8	2	1972–1982	11
T34	Paul Lawrie	1969–	Scotland	8	1	1996–2012	17
T34	Eduardo Romero	1954–	Argentina	8	0	1989–2002	14
T34	Charl Schwartzel	1984–	South Africa	8	1	2005–2013	9
