Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1992	Toyota Team Tom's	Geoff Lees Ukyo Katayama	C1	192	DNF	DNF
1993	TWR Jaguar Racing	John Nielsen David Coulthard	GT	306	DSQ	DSQ
1996	Gulf Racing GTC Racing	Pierre-Henri Raphanel Lindsay Owen-Jones	GT1	335	5th	4th
1997	David Price Racing	Perry McCarthy Doc Bundy	GT1	145	DNF	DNF
1998	Panoz Motorsports	Andy Wallace Jamie Davies	GT1	335	7th	7th
1999	Panoz Motorsports	Éric Bernard Butch Leitzinger	LMP	336	7th	6th
2000	Panoz Motorsports	Jan Magnussen Mario Andretti	LMP900	315	15th	8th
2001	Panoz Motorsports	Jan Magnussen Franck Lagorce	LMP900	85	DNF	DNF
2002	Panoz Motor Sports	Jan Magnussen Bryan Herta	LMP900	90	DNF	DNF
2003	Team Bentley	Mark Blundell Johnny Herbert	LMGTP	375	2nd	2nd
2004	Zytek Engineering , Ltd.	Andy Wallace Hayanari Shimoda	LMP1	167	DNF	DNF
2005	Aston Martin Racing	Stéphane Sarrazin Darren Turner	GT1	333	9th	3rd
2006	Russian Age Racing Team Modena	Antonio García Nelson Piquet, Jr.	GT1	343	9th	4th
2007	Aston Martin Racing	Darren Turner Rickard Rydell	GT1	343	5th	1st
2008	Aston Martin Racing	Antonio García Darren Turner	GT1	344	13th	1st
2009	Peugeot Sport Total	Marc Gené Alexander Wurz	LMP1	382	1st	1st
2010	Highcroft Racing	Marino Franchitti Marco Werner	LMP2	296	25th	9th
2012	JRM	Peter Dumbreck Karun Chandhok	LMP1	357	6th	6th
