Goal	Date	Venue	Score	Result	Competition
1.	6 November 1996	Asim Ferhatović Hase Stadium , Sarajevo	2–1	2–1	Friendly
2.	10 November 1996	Bežigrad Central Stadium , Ljubljana	1–0	2–1	1998 World Cup qualification
3.	5 November 1997	Stade El Menzah , Tunis	1–2	1–2	Friendly
4.	20 August 1997	Asim Ferhatović Hase Stadium, Sarajevo	2–0	3–0	1998 World Cup qualification
5.	20 August 1997	Asim Ferhatović Hase Stadium, Sarajevo	3–0	3–0	1998 World Cup qualification
6.	10 September 1997	Asim Ferhatović Hase Stadium, Sarajevo	1–0	1–0	1998 World Cup qualification
7.	5 June 1999	Asim Ferhatović Hase Stadium, Sarajevo	2–0	2–0	Euro 2000 qualifying
8.	9 June 1999	Svangaskarð , Toftir	1–0	2–2	Euro 2000 qualifying
9.	9 June 1999	Svangaskarð, Toftir	2–2	2–2	Euro 2000 qualifying
10.	4 September 1999	Asim Ferhatović Hase Stadium, Sarajevo	1–1	1–2	Euro 2000 qualifying
11.	16 August 2000	Asim Ferhatović Hase Stadium, Sarajevo	1–0	2–0	Friendly
12.	27 March 2002	Grbavica , Sarajevo	1–0	4–4	Friendly
13.	27 March 2002	Grbavica, Sarajevo	4–2	4–4	Friendly
14.	29 March 2003	Bilino Polje , Zenica	1–0	2–0	Euro 2004 qualifying
15.	11 October 2003	Asim Ferhatovic Hase Stadium, Sarajevo	1–1	1–1	Euro 2004 qualifying
16.	31 March 2004	Luxembourg	2–0	2–1	Friendly
17.	8 September 2004	Bilino Polje, Zenica	1–1	1–1	2006 World Cup qualification
18.	2 February 2005	Teheran	1–0	1–2	Friendly
19.	30 March 2005	Asim Ferhatovic Hase Stadium, Sarajevo	1–0	1–1	2006 World Cup qualification
20.	8 October 2005	Bilino Polje, Zenica	1–0	3–0	2006 World Cup qualification
21.	8 October 2005	Bilino Polje, Zenica	2–0	3–0	2006 World Cup qualification
22.	8 October 2005	Bilino Polje, Zenica	3–0	3–0	2006 World Cup qualification
