Category	Film	Director(s)	Country	Nominating Festival
Short Film 2003 Prix UIP	(A) Torzija	Stefan Arsenijevic	Serbia , Slovenia	Prix UIP Berlin
Short Film 2003 Prix UIP	La Chanson-Chanson	Xavier Diskeuve	Belgium	Prix UIP Ghent
Short Film 2003 Prix UIP	At Dawning	Martin Jones [ disambiguation needed ]	United Kingdom	Prix UIP Valladolid
Short Film 2003 Prix UIP	Mamaman	Iao Lethem	Belgium	Prix UIP Angers
Short Film 2003 Prix UIP	Redd Barna	Terje Rangnes	Norway	Prix UIP Tampere
Short Film 2003 Prix UIP	Kraj Urodzenia	Jacek Bławut	Poland	Prix UIP Cracow
Short Film 2003 Prix UIP	Une Étreinte	Eskil Vogt	Norway	Prix UIP Grimstad
Short Film 2003 Prix UIP	My Zhivem Na Krai	Victor Asliuk	Belarus	Prix UIP Vilo do Conde
Short Film 2003 Prix UIP	Le Portefeuille	Vincent Bierrewaerts	France , Belgium	Prix UIP Sarajevo
Short Film 2003 Prix UIP	Små Skred	Birgitte Staermose	Denmark	Prix UIP Edinburgh
Short Film 2003 Prix UIP	The Trumouse Show	Julio Robledo	Spain	Prix UIP Venezia
Short Film 2003 Prix UIP	Velikan	Alexander Kott	Russia	Prix UIP Drama
