District	Con- gress	Date	Predecessor	Winner
New York 6th	21st	December 6, 1830	Hector Craig ( D )	Samuel W. Eager ( NR )
New York 20th	21st	December 6, 1830	Silas Wright ( NR )	Jonah Sanford ( D )
New York 3rd	23rd	December 1, 1834	Cornelius V. Lawrence ( D )	John J. Morgan ( D )
New York 3rd	23rd	December 1, 1834	Dudley Selden ( D )	Charles G. Ferris ( D )
New York 3rd	24th	December 7, 1835	Campbell P. White ( D )	Gideon Lee ( D )
New York 17th	24th	December 5, 1836	Samuel Beardsley ( D )	Rutger B. Miller ( D )
New York 30th	24th	December 6, 1836	Philo C. Fuller ( NR )	John Young ( NR )
New York 22nd	25th	December 3, 1838	Andrew D. W. Bruyn ( D )	Cyrus Beers ( D )
New York 29th	25th	December 3, 1838	William Patterson ( W )	Harvey Putnam ( W )
New York 11th	26th	December 7, 1840	Anson Brown ( W )	Nicholas B. Doe ( W )
New York 26th	27th	May 31, 1841	Francis Granger ( W )	John Greig ( W )
New York 20th	28th	December 2, 1844	Samuel Beardsley ( D )	Levi D. Carpenter ( D )
New York 12th	29th	December 7, 1846	Richard P. Herrick ( W )	Thomas C. Ripley ( W )
New York 6th	30th	November 7, 1848	David S. Jackson ( D )	Horace Greeley ( W )
New York 27th	30th	December 4, 1848	John M. Holley ( W )	Esbon Blackmar ( W )
New York 12th	33rd	December 4, 1854	Gilbert Dean ( D )	Isaac Teller ( W )
New York 29th	33rd	December 5, 1853	Azariah Boody ( W )	Davis Carpenter ( W )
New York 22nd	33rd	December 4, 1854	Gerrit Smith ( FS )	Henry C. Goodwin ( W )
New York 4th	35th	January 17, 1859	John Kelly ( D )	Thomas J. Barr ( D )
New York 31st	36th	December 5, 1860	Silas M. Burroughs ( R )	Edwin R. Reynolds ( R )
New York 14th	38th	December 7, 1863	Erastus Corning ( D )	John V. L. Pruyn ( D )
New York 1st	38th	December 5, 1864	Henry G. Stebbins ( D )	Dwight Townsend ( D )
New York 16th	39th	December 3, 1866	Orlando Kellogg ( D )	Robert S. Hale ( D )
New York 3rd	39th	December 4, 1866	James Humphrey ( R )	John W. Hunter ( D )
New York 21st	40th	November 30, 1867	Roscoe Conkling ( R )	Alexander H. Bailey ( R )
New York 28th	41st	December 6, 1870	Noah Davis ( R )	Charles H. Holmes ( R )
New York 6th	43rd	November 4, 1873	James Brooks ( D )	Samuel S. Cox ( D )
New York 3rd	43rd	November 3, 1874	Stewart L. Woodford ( R )	Simeon B. Chittenden ( R )
New York 9th	43rd	December 7, 1874	David B. Mellish ( R )	Richard Schell ( D )
New York 33rd	44th	December 6, 1875	Augustus F. Allen ( R )	Nelson I. Norton ( R )
New York 7th	44th	January 11, 1877	Smith Ely, Jr. ( D )	David Dudley Field ( D )
New York 16th	45th	December 2, 1878	Terence J. Quinn ( D )	John M. Bailey ( R )
New York 12th	46th	December 1, 1879	Alexander Smith ( D )	Waldo Hutchins ( D )
New York 32nd	46th	December 6, 1880	Ray V. Pierce ( R )	Jonathan Scoville ( D )
New York 11th	47th	December 5, 1881	Levi P. Morton ( R )	Roswell P. Flower ( D )
New York 22nd	47th	December 5, 1881	Warner Miller ( R )	Charles R. Skinner ( R )
New York 27th	47th	December 5, 1881	Elbridge G. Lapham ( R )	James W. Wadsworth ( R )
New York 8th	49th	December 7, 1885	Samuel S. Cox ( D )	Timothy J. Campbell ( D )
New York 9th	49th	December 6, 1886	Joseph Pulitzer ( D )	Samuel S. Cox ( D )
New York 15th	49th	December 6, 1886	Lewis Beach ( D )	Henry Bacon ( D )
New York 19th	50th	December 5, 1887	Nicholas T. Kane ( D )	Charles Tracey ( D )
New York 19th	50th	December 5, 1887	Frank Hiscock ( R )	James J. Belden ( R )
New York 6th	51st	November 30, 1889	Frank T. Fitzgerald ( D )	Charles H. Turner ( D )
New York 9th	51st	December 2, 1889	Samuel S. Cox ( D )	Amos J. Cummings ( D )
New York 27th	51st	December 2, 1889	Newton W. Nutting ( R )	Sereno E. Payne ( R )
