Rank	Name	Height ft / m	Floors	Year
1	U.S. Steel Tower	841 / 256	64	1970
2	BNY Mellon Center	725 / 221	54	1983
3	One PPG Place	635 / 194	40	1984
4	Fifth Avenue Place	616 / 188	31	1988
5	One Oxford Centre	615 / 187	45	1983
6	Gulf Tower	582 / 177	44	1932
7	Cathedral of Learning	535 / 163	42	1936
8	525 William Penn Place	520 / 158	41	1951
9	K&L Gates Center	511 / 156	39	1968
10	Grant Building	485 / 148	40	1930
11	Koppers Tower	475 / 145	34	1929
12	Two PNC Plaza	445 / 136	34	1975
13	EQT Plaza	430 / 131	32	1987
14	One PNC Plaza	424 / 129	30	1972
15	Regional Enterprise Tower	410 / 125	30	1953
16	Three PNC Plaza	361 / 110	23	2009
17	Federated Tower	358 / 109	27	1982
18	11 Stanwix Street	355 / 108	23	1969
19	Oliver Building	347 / 106	25	1910
20	Three Gateway Center	344 / 105	24	1952
21	Centre City Tower	341 / 104	26	1971
22	William S. Moorhead Federal Building	340 / 104	23	1964
23	Bell Telephone Building	339 / 103	20	1923
24	Wyndham Grand Pittsburgh Downtown	333 / 102	22	1959
25	Frick Building	330 / 101	20	1902
26	Four Gateway Center	305 / 93	22	1960
27=	Washington Plaza	300 / 91	24	1964
27=	Commonwealth Building	300 / 91	21	1906
27=	The Carlyle	300 / 91	21	1906
