Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	26–16–1 (2)	Yan Cabral	Submission (arm triangle choke)	Dream 17	2	2:42	Saitama, Saitama , Japan
Loss	26–15–1 (2)	Marius Zaromskis	TKO (doctor stoppage)	Dynamite!! 2010	1	2:16	Saitama, Saitama , Japan
Loss	26–14–1 (2)	Jason Miller	Submission (arm triangle choke)	Dream 16	1	2:09	Nagoya, Aichi , Japan
Loss	26–13–1 (2)	Ralek Gracie	Decision (unanimous)	Dream 14	3	5:00	Saitama, Saitama , Japan
Win	26–12–1 (2)	Zelg Galešic	Submission (kneebar)	Dream 12	1	1:40	Osaka, Osaka , Japan
Win	25–12–1 (2)	Rubin Williams	Submission (kimura)	Dream 11	1	2:53	Yokohama, Kanagawa , Japan
Loss	24–12–1 (2)	Kiyoshi Tamura	Decision (unanimous)	Dynamite!! 2008	2	5:00	Saitama, Saitama , Japan
Loss	24–11–1 (2)	Melvin Manhoef	KO (punches)	Dream 4	1	1:30	Yokohama, Kanagawa , Japan
Win	24–10–1 (2)	Andrews Nakahara	Submission (neck crank)	Dream 2	1	8:20	Saitama, Saitama , Japan
Win	23–10–1 (2)	Masakatsu Funaki	Submission (kimura)	K-1 PREMIUM 2007 Dynamite!!	1	6:25	Osaka, Osaka , Japan
Win	22–10–1 (2)	Katsuyori Shibata	Submission (armbar)	Hero's 10	1	6:20	Yokohama, Kanagawa , Japan
Loss	21–10–1 (2)	Royce Gracie	Decision (unanimous)	Dynamite!! USA	3	5:00	Los Angeles, California United States
Win	21–9–1 (2)	Yurij Kiselov	Submission (triangle armbar)	Hero's 8	1	1:26	Nagoya, Aichi , Japan
NC	20–9–1 (2)	Yoshihiro Akiyama	No Contest (greasing)	K-1 PREMIUM 2006 Dynamite!!	1	5:37	Osaka, Osaka , Japan
Win	20–9–1 (1)	Kestutis Smirnovas	Submission (armbar)	Hero's 6	1	6:41	Tokyo , Japan
Win	19–9–1 (1)	Ikuhisa Minowa	Technical Submission (kimura)	Pride Shockwave 2005	1	9:59	Saitama, Saitama , Japan
Win	18–9–1 (1)	Ken Shamrock	TKO (punch)	Pride 30	1	2:27	Saitama, Saitama , Japan
Loss	17–9–1 (1)	Ricardo Arona	TKO (corner stoppage)	Pride Critical Countdown 2005	2	5:00	Saitama, Saitama , Japan
Win	17–8–1 (1)	Yoon Dong-Sik	KO (punches)	Pride Total Elimination 2005	1	0:38	Osaka, Osaka , Japan
Win	16–8–1 (1)	Nino Schembri	Decision (unanimous)	Pride Critical Countdown 2004	3	5:00	Saitama, Saitama , Japan
