Unit	Russian	Translation	Ratio	Cubic inches (exact)	Metric value	Imperial	US Customary
shkalik	шка́лик	measure	1/200	3¾	61.5 mL	2.16 fl. oz.	2.08 fl. oz.
kosushka	косу́шка	shot	1/200	3¾	61.5 mL	2.16 fl. oz.	2.08 fl. oz.
charka	ча́рка	wine glass	1/100	7½	123 mL	4.33 fl. oz.	4.16 fl. oz.
butylka (vodochnaya)	буты́лка ( во́дочная )	bottle (vodka)	1/20	37½	615 mL	1.08 pt	1.3 pt
butylka (vinnaya)	буты́лка ( ви́нная )	bottle (wine)	1/16	46⅞	768.7 mL	1.35 pt	1.625 pt
kruzhka	кру́жка	mug	1/10	75	1.23 L	1.08 qt	1.3 qt
shtof	штоф	flagon	1/10	75	1.23 L	1.08 qt	1.3 qt
chetvert	че́тверть	quarter	1/8	93 ¾	1.537 L	1.35 qt	1.624 qt
vedro	ведро́	bucket	1	750	12.29941 L	2.71 gal.	3.249 gal.
bochka	бо́чка	barrel	40	30,000	491.98 L	108.22 gal.	129.967 gal.
