Team	Manager 1	Captain	Kit manufacturer	Shirt sponsor
Arsenal	Arsène Wenger	Tony Adams	Nike	JVC
Aston Villa	John Gregory	Gareth Southgate	Reebok	LDV Vans
Blackburn Rovers	Brian Kidd	Garry Flitcroft	Uhlsport	CIS
Charlton Athletic	Alan Curbishley	Mark Kinsella	Le Coq Sportif	Mesh Computers
Chelsea	Gianluca Vialli	Dennis Wise	Umbro	Autoglass
Coventry City	Gordon Strachan	Gary McAllister	Le Coq Sportif	Subaru
Derby County	Jim Smith	Igor Štimac	Puma	EDS
Everton	Walter Smith	Dave Watson	Umbro	One2One
Leeds United	David O'Leary	Lucas Radebe	Puma	Packard Bell
Leicester City	Martin O'Neill	Steve Walsh	Fox Leisure	Walkers
Liverpool	Gérard Houllier	Paul Ince	Reebok	Carlsberg
Manchester United	Alex Ferguson	Roy Keane	Umbro	Sharp
Middlesbrough	Bryan Robson	Andy Townsend	Erreà	Cellnet
Newcastle United	Ruud Gullit	Alan Shearer	Adidas	Newcastle Brown Ale
Nottingham Forest	Ron Atkinson (caretaker)	Steve Chettle	Umbro	Pinnacle Insurance
Sheffield Wednesday	Danny Wilson	Peter Atherton	Puma	Sanderson
Southampton	Dave Jones	Matt Le Tissier	Pony	Sanderson
Tottenham Hotspur	George Graham	Sol Campbell	Pony	Hewlett-Packard
West Ham United	Harry Redknapp	Steve Lomas	Pony	Dr. Martens
Wimbledon	Terry Burton Mick Harford (caretakers)	Robbie Earle	Lotto	Elonex
