Tie no	Home team	Score	Away team	Date
1	Blackpool	0–0	Derby County	8 January 1977
Replay	Derby County	3–2	Blackpool	19 January 1977
2	Darlington	2–2	Orient	8 January 1977
Replay	Orient	0–0	Darlington	11 January 1977
Replay	Darlington	0–3	Orient	17 January 1977
3	Burnley	2–2	Lincoln City	8 January 1977
Replay	Lincoln City	0–1	Burnley	12 January 1977
4	Liverpool	0–0	Crystal Palace	8 January 1977
Replay	Crystal Palace	2–3	Liverpool	11 January 1977
5	Southampton	1–1	Chelsea	8 January 1977
Replay	Chelsea	0–3	Southampton	12 January 1977
6	Leicester City	0–1	Aston Villa	8 January 1977
7	Notts County	0–1	Arsenal	8 January 1977
8	Nottingham Forest	1–1	Bristol Rovers	8 January 1977
Replay	Bristol Rovers	1–1	Nottingham Forest	11 January 1977
Replay	Nottingham Forest	6–0	Bristol Rovers	18 January 1977
9	Northwich Victoria	3–2	Watford	8 January 1977
10	Wolverhampton Wanderers	3–2	Rotherham United	8 January 1977
11	Sunderland	2–2	Wrexham	8 January 1977
Replay	Wrexham	1–0	Sunderland	12 January 1977
12	Everton	2–0	Stoke City	8 January 1977
13	Sheffield United	0–0	Newcastle United	8 January 1977
Replay	Newcastle United	3–1	Sheffield United	24 January 1977
14	Ipswich Town	4–1	Bristol City	8 January 1977
15	Manchester City	1–1	West Bromwich Albion	8 January 1977
Replay	West Bromwich Albion	0–1	Manchester City	11 January 1977
16	Queens Park Rangers	2–1	Shrewsbury Town	8 January 1977
17	Fulham	3–3	Swindon Town	8 January 1977
Replay	Swindon Town	5–0	Fulham	11 January 1977
18	Coventry City	1–0	Millwall	8 January 1977
19	West Ham United	2–1	Bolton Wanderers	8 January 1977
20	Manchester United	1–0	Walsall	8 January 1977
21	Hull City	1–1	Port Vale	8 January 1977
Replay	Port Vale	3–1	Hull City	10 January 1977
22	Carlisle United	5–1	Matlock Town	8 January 1977
23	Oldham Athletic	3–0	Plymouth Argyle	8 January 1977
24	Wimbledon	0–0	Middlesbrough	8 January 1977
Replay	Middlesbrough	1–0	Wimbledon	11 January 1977
25	Southend United	0–4	Chester	8 January 1977
26	Cardiff City	1–0	Tottenham Hotspur	8 January 1977
27	Halifax Town	0–1	Luton Town	8 January 1977
28	Charlton Athletic	1–1	Blackburn Rovers	8 January 1977
Replay	Blackburn Rovers	2–0	Charlton Athletic	12 January 1977
29	Leeds United	5–2	Norwich City	8 January 1977
30	Hereford United	1–0	Reading	8 January 1977
31	Kettering Town	2–3	Colchester United	8 January 1977
32	Birmingham City	1–0	Portsmouth	8 January 1977
