School	Mascot	Location	Enrollment	IHSAA Class	IHSAA Football Class	County
Avon Community	Orioles	Avon	2,512	AAAA	AAAAA	32 Hendricks
Brownsburg	Bulldogs	Brownsburg	2,222	AAAA	AAAAA	32 Hendricks
Fishers	Tigers	Fishers	2,236	AAAA	AAAAA	29 Hamilton
Hamilton Southeastern	Royals	Fishers	2,700	AAAA	AAAAA	29 Hamilton
West Lafayette W.H. Harrison	Raiders	West Lafayette	1,663	AAAA	AAAAA	79 Tippecanoe
Lafayette T. Jefferson	Bronchos	Lafayette	2,191	AAAA	AAAAA	79 Tippecanoe
West Lafaette McCutcheon	Mavericks	West Lafayette	1,834	AAAA	AAAAA	79 Tippecanoe
Noblesville	Millers	Noblesville	2,502	AAAA	AAAAA	29 Hamilton
Westfield	Shamrocks	Westfield	2,048	AAAA	AAAAA	29 Hamilton
Zionsville Community	Eagles	Zionsville	1,749	AAAA	AAAAA	06 Boone
