Rider	Manufacturer	Laps	Time	Grid
Valentino Rossi	Yamaha	20	37:20.095	1
Nicky Hayden	Honda	20	+5.972	4
Jorge Lorenzo	Yamaha	20	+7.858	3
Casey Stoner	Ducati	20	+28.162	2
Andrea Dovizioso	Honda	20	+28.824	7
Ben Spies	Suzuki	20	+29.645	5
Sylvain Guintoli	Ducati	20	+36.223	14
Dani Pedrosa	Honda	20	+37.258	8
Chris Vermeulen	Suzuki	20	+38.442	15
Alex de Angelis	Honda	20	+42.437	12
Anthony West	Kawasaki	20	+47.179	19
Toni Elias	Ducati	20	+55.962	9
Randy de Puniet	Honda	20	+57.366	6
John Hopkins	Kawasaki	20	+58.353	16
Colin Edwards	Yamaha	20	+1:00.613	11
Loris Capirossi	Suzuki	20	+1:05.620	13
Shinya Nakano	Honda	20	+1:05.854	17
James Toseland	Yamaha	20	+1:07.968	10
Marco Melandri	Ducati	20	+1:21.023	18
