Event	Start Date	Finish Date	Start	Finish	Distance	Abu Dhabi	Camper	Groupama	Puma	Sanya	Telefónica
In-Port Race	29 October 2011	29 October 2011	Alicante	Alicante	Alicante	6	4	2	5	3	1
Leg 1	5 November 2011	25 November 2011	Alicante	Cape Town	6,500nmi	0 (DNF)	25	20	0 (DNF)	0 (DNF)	30
In-Port Race	10 December 2011	10 December 2011	Cape Town	Cape Town	Cape Town	3	5	2	4	1	6
Leg 2	11 December 2011	4 January 2012	Cape Town	Malé	5,430nmi	8	20	12	16	4	24
Leg 2	11 December 2011	4 January 2012	Sharjah	Abu Dhabi	5,430nmi	2	4	6	3	1	5
In-Port Race	13 January 2012	13 January 2012	Abu Dhabi	Abu Dhabi	Abu Dhabi	6	4	5	3	2	2
Leg 3	14 January 2012	4 February 2012	Abu Dhabi	Sharjah	106nmi	6	2	4	5	1	3
Leg 3	14 January 2012	4 February 2012	Malé	Sanya	3,051nmi	8	16	20	12	4	24
In-Port Race	18 February 2012	18 February 2012	Sanya	Sanya	Sanya	4	3	2	5	1	6
Leg 4	19 February 2012	8 March 2012	Sanya	Auckland	5,220nmi	10	15	30	25	5	20
In-Port Race	17 March 2012	17 March 2012	Auckland	Auckland	Auckland	2	6	4	5	3	1
Leg 5	18 March 2012	4 April 2012	Auckland	Itajaí	6,705nmi	0 (DNF)	15	20	30	0 (DNF)	25
In-Port Race	21 April 2012	21 April 2012	Itajaí	Itajaí	Itajaí	3	5	6	4	0 (DNS)	2
Leg 6	22 April 2012	6 May 2012	Itajaí	Miami	4,800nmi	10	25	20	30	0 (DNS)	15
In-Port Race	19 May 2012	19 May 2012	Miami	Miami	Miami	6	3	5	4	2	1
Leg 7	20 May 2012	31 May 2012	Miami	Lisbon	3,590nmi	30	10	25	20	5	15
In-Port Race	9 June 2012	9 June 2012	Lisbon	Lisbon	Lisbon	3	4	6	5	2	1
Leg 8	10 June 2012	17 June 2012	Lisbon	Lorient	1,940nmi	15	25	30	20	5	10
In-Port Race	30 June 2012	30 June 2012	Lorient	Lorient	Lorient	2	5	6	4	1	3
Leg 9	1 July 2012	3 July 2012	Lorient	Galway	485nmi	5	30	25	20	10	15
In-Port Race	7 July 2012	7 July 2012	Galway	Galway	Galway	2	5	3	6	1	4
In-port Race Series	In-port Race Series	In-port Race Series	In-port Race Series	In-port Race Series	In-port Race Series	37	44	41	45	16	27
