Season	Position	Win/Loss	Coach	Captain	Dudley Tuckey Medal	Leading goalkicker
1997	9	1-19	Geoff Miles	Phil Gilbert	Scott Simister	Scott Simister (27)
1998	9	1-19	Geoff Miles Troy Wilson	Phil Gilbert	Darren Bolton	Scott Simister (31)
1999	9	0-20	Troy Wilson	Scott Simister	Scott Simister	Scott Simister (54)
2000	8	4-14	Shane Cable	Bill Monaghan	Vance Davison	Dean Buszan (32)
2001	6	7-11	Shane Cable	Vance Davison	Derek Hall	David McPharlin (25)
2002	8	7-11	Peter German	Derek Hall	Darren Bolton	Scott Simister (46)
2003	9	1-19	John Ditchburn	Derek Hall	Derek Hall	Derek Hall (22)
2004	8	5-15	Garry Hocking	Brandon Hill	Daniel Haines	Cameron Gauci (40)
2005	9	3-17	Garry Hocking	Grant Welsh	Pat Travers	Justin Wood (29)
2006	8	6-14	Chris Waterman	Grant Welsh	Rory O'Brien	Dean Buszan (44)
2007	8	5-15	Chris Waterman	Grant Welsh	Daniel Haines	Dean Buszan (30)
2008	6	8-12	Chris Waterman	Grant Welsh	Hayden Ballantyne	Hayden Ballantyne (75)
2009	9	5-15	Chris Waterman	Daniel Haines	Ben Howlett	Kain Robins (33)
2010	8	3-17	Trevor Williams	Daniel Haines Brendon Jones	Rory O'Brien	Matthew Battye (27)
2011	9	5-15	Trevor Williams	Brendon Jones	Kristin Thornton	Bradley Holmes (36)
2012	9	5-15	Trevor Williams Mark Moody	Brendon Jones	Brendon Jones	Bradley Holmes (52)
