Date	Time ( CEST )	Team #1	Res.	Team #2	Round	Attendance
21 June 2013	18.00	France	3–1	Ghana	Group A	4,133
21 June 2013	21.00	USA	1–4	Spain	Group A	4,133
24 June 2013	18.00	France	1–1	USA	Group A	4,120
24 June 2013	21.00	Spain	1–0	Ghana	Group A	4,120
27 June 2013	20.00	Spain	2–1	France	Group A	7,511
27 June 2013	17.00	South Korea	0–1	Nigeria	Group B	7,511
2 July 2013	18.00	Spain	2–1	Mexico	Round of 16	7,211
2 July 2013	21.00	Nigeria	1–2	Uruguay	Round of 16	7,211
7 July 2013	21.00	Ghana	4–3	Chile	Quarterfinals	6,632
13 July 2013	18.00	Ghana	3–0	Iraq	Third place match	20,601
13 July 2013	18.00	France	0–0	Uruguay	Final	20,601
