Date	Opponent	Score	Loss	Attendance	Record
April 9	@ Mariners	8–6	Lemanczyk (0–1)	22,588	0–1
April 11	@ Mariners	10–7 (11)	Dressler (0–1)	6,104	1–1
April 12	@ Mariners	3–2 (10)	Garvin (0–1)	6,773	1–2
April 13	@ Mariners	5–1	Lemanczyk (0–2)	4,567	1–3
April 14	Brewers	Postponed (rain) Rescheduled for July 13	Postponed (rain) Rescheduled for July 13	Postponed (rain) Rescheduled for July 13	Postponed (rain) Rescheduled for July 13
April 16	Brewers	11–2	Slaton (0–1)	12,688	2–3
April 17	Brewers	1–0	Sorensen (1–1)	11,235	3–3
April 19	@ Indians	8–1	Clancy (0–1)	61,753	3–4
April 20	@ Indians	5–3	Denny (0–2)	11,220	4–4
April 21	@ Royals	7–1	Gale (0–2)	21,117	5–4
April 22	@ Royals	7–2	Mirabella (1–1)	16,993	5–5
April 23	@ Royals	7–4	McLaughlin (0–1)	18,855	5–6
April 25	@ Brewers	5–3	Sorensen (1–2)	9,902	6–6
April 26	@ Brewers	4–0	Caldwell (2–1)	11,038	7–6
April 27	@ Brewers	8–2	Haas (1–3)	11,099	8–6
April 28	Royals	Postponed (rain) Rescheduled for August 8	Postponed (rain) Rescheduled for August 8	Postponed (rain) Rescheduled for August 8	Postponed (rain) Rescheduled for August 8
April 29	Royals	3–1	Leonard (0–3)	11,553	9–6
April 30	Royals	3–0	Jefferson (0–1)	14,029	9–7
