Driver	Team	Laps	Time/Retired	Grid	Points
Scott Dixon	Target Chip Ganassi Racing	91	1:51:05.704	4	50
Hélio Castroneves	Team Penske	91	+5.9 secs	2	43
Justin Wilson	Newman/Haas/Lanigan Racing	91	+13.4 secs	6	35
Paul Tracy	Vision Racing	91	+28.1 secs	15	32
Oriol Servia	KV Racing Technology	91	+28.7 secs	3	30
Ryan Briscoe	Team Penske	91	+36.9 secs	1	28
Dan Wheldon	Target Chip Ganassi Racing	91	+41.8 secs	9	26
Ryan Hunter-Reay	Andretti Green Racing	91	+42.1 secs	13	24
Tony Kanaan	Andretti Green Racing	91	+43.1 secs	27	22
Darren Manning	A. J. Foyt Enterprises	91	+43.3 secs	18	20
Buddy Rice	Dreyer & Reinbold Racing	91	+48.4 secs	22	19
A. J. Foyt IV	Vision Racing	91	+50.1 secs	17	18
Ed Carpenter	Vision Racing	91	+57.6 secs	23	17
Bruno Junqueira	Dale Coyne Racing	91	+61.1 secs	7	16
E. J. Viso (R)	HVM Racing	90	+ 1 lap	20	15
Enrique Bernoldi (R)	Conquest Racing	90	+ 1 lap	11	14
Marco Andretti	Andretti Green Racing	90	+ 1 lap	12	13
Danica Patrick	Andretti Green Racing	88	+ 3 laps	14	12
Vitor Meira	Panther Racing	85	+ 6 laps	16	12
Mario Moraes (R)	Dale Coyne Racing	85	+ 6 laps	10	12
Marty Roth	Roth Racing	84	+ 7 laps	25	12
Will Power	KV Racing Technology	72	+ 19 laps	5	12
Jaime Camara (R)	Conquest Racing	68	Mechanical	26	12
Mario Dominguez	Pacific Coast Motorsports	51	Off Course	19	12
Townsend Bell	Dreyer & Reinbold Racing	48	Contact	24	10
Graham Rahal	Newman/Haas/Lanigan Racing	44	Contact	8	10
Hideki Mutoh	Andretti Green Racing	27	Contact	21	10
